#
# This file is made from pedestal file determined by Tony
# from RUN7705. I added constant gain values (80,30) so that
# this can be used as the base calibration of RICH.
#
# Name (bankID=1)
ADC
# start time 
2000 5 1 0 0 0
# end time 
2000 9 1 0 0 0
# description 
ADC pedestal from RUN7705. PE=80, PEW=30 for all live channels.
# calibration data. 5120 entries
# status PMT Ped PedW PE PEW Nped N1 N2 N3 chisqr
SM 0 -1.00852 5.67333 80 30 659.483 0 0 0 47.9895
SM 1 -1.25672 3.59908 80 30 1054.37 0 0 0 16.8863
SM 2 -1.21017 3.24634 80 30 1163.18 0 0 0 22.1007
SM 3 -1.47015 3.15634 80 30 1189.73 0 0 0 34.4239
SM 4 -1.44636 2.97205 80 30 1252.09 0 0 0 54.049
SM 5 -1.26154 3.1334 80 30 1208.19 0 0 0 18.5436
SM 6 -1.31982 3.06188 80 30 1236.25 0 0 0 19.7887
SM 7 -1.53756 2.98828 80 30 1265.77 0 0 0 17.0936
SM 8 -1.10775 3.01731 80 30 1253.94 0 0 0 17.6543
SM 9 -1.25724 3.00432 80 30 1257.02 0 0 0 21.4655
SM 10 -1.31395 3.06329 80 30 1223.04 0 0 0 40.781
SM 11 -1.34379 3.00717 80 30 1256.74 0 0 0 15.991
SM 12 -8.62593 2.94651 80 30 1265.26 0 0 0 46.7797
SM 13 -1.27992 3.31566 80 30 1133.41 0 0 0 34.2033
SM 14 -1.42916 3.62027 80 30 1034.3 0 0 0 39.3613
SM 15 -1.4434 4.49472 80 30 837.025 0 0 0 36.9891
SM 16 -1.0707 4.68567 80 30 799.296 0 0 0 43.5281
SM 17 -1.08086 2.97335 80 30 1255.12 0 0 0 52.1033
SM 18 -0.927184 2.84838 80 30 1305.36 0 0 0 58.3864
SM 19 -0.903883 2.84585 80 30 1326.74 0 0 0 22.4463
SM 20 -1.09828 2.70509 80 30 1373.5 0 0 0 55.1823
SM 21 -1.01217 2.74637 80 30 1371.51 0 0 0 27.7047
SM 22 -0.880905 2.6746 80 30 1402.5 0 0 0 34.9671
SM 23 -0.954299 2.62376 80 30 1430.66 0 0 0 35.5775
SM 24 -1.02014 2.89922 80 30 1288.12 0 0 0 46.2606
SM 25 -1.09064 2.79828 80 30 1339.44 0 0 0 38.8321
SM 26 -1.04926 2.85299 80 30 1324.47 0 0 0 20.7102
SM 27 -0.93313 2.8872 80 30 1305.52 0 0 0 25.4125
SM 28 -7.39649 2.82522 80 30 1332.75 0 0 0 22.3408
SM 29 -0.966133 2.97208 80 30 1265.77 0 0 0 28.9391
SM 30 -0.985784 3.05786 80 30 1234.2 0 0 0 28.2539
SM 31 -1.10027 3.45727 80 30 1089.07 0 0 0 23.0449
SM 32 -1.65197 3.4616 80 30 1097.16 0 0 0 13.7087
SM 33 -1.27228 2.55799 80 30 1474.52 0 0 0 23.3419
SM 34 -1.45815 2.55116 80 30 1482.16 0 0 0 13.0614
SM 35 -1.53022 2.47631 80 30 1525.39 0 0 0 16.2194
SM 36 -1.47478 2.47352 80 30 1532.99 0 0 0 10.5183
SM 37 -1.67067 2.58203 80 30 1470.49 0 0 0 9.78751
SM 38 -1.61501 2.52032 80 30 1502.01 0 0 0 14.2869
SM 39 -1.4413 2.54272 80 30 1488.55 0 0 0 9.48656
SM 40 -1.56245 2.53928 80 30 1498.28 0 0 0 6.08123
SM 41 -1.61774 2.48995 80 30 1521.18 0 0 0 12.0179
SM 42 -1.5357 2.55534 80 30 1474.99 0 0 0 14.3586
SM 43 -1.44044 2.60793 80 30 1440.22 0 0 0 18.8589
SM 44 -8.61655 2.32816 80 30 1630.8 0 0 0 11.9735
SM 45 -1.38833 2.59999 80 30 1460.28 0 0 0 10.1626
SM 46 -1.61687 2.60246 80 30 1452.77 0 0 0 15.0918
SM 47 -1.4859 2.65262 80 30 1425.87 0 0 0 12.6811
SM 48 -1.12151 4.52565 80 30 821.542 0 0 0 60.2856
SM 49 -1.00457 3.12317 80 30 1189.25 0 0 0 57.6511
SM 50 -1.27554 3.12127 80 30 1178.51 0 0 0 79.7088
SM 51 -1.18615 3.09542 80 30 1185.43 0 0 0 85.0357
SM 52 -1.17556 3.19207 80 30 1139.46 0 0 0 100.596
SM 53 -1.44113 3.45074 80 30 1069.56 0 0 0 69.8851
SM 54 -1.17115 3.10349 80 30 1173.11 0 0 0 101.554
SM 55 -1.10503 3.26744 80 30 1113.64 0 0 0 100.074
SM 56 -1.14051 3.45271 80 30 1071.88 0 0 0 62.9295
SM 57 -1.09259 3.43015 80 30 1076.64 0 0 0 71.3077
SM 58 -1.2646 3.39093 80 30 1080.38 0 0 0 88.9588
SM 59 -1.381 3.4134 80 30 1063.71 0 0 0 111.472
SM 60 -7.4942 3.61653 80 30 1047.72 0 0 0 14.0382
SM 61 -1.24335 3.65507 80 30 995.627 0 0 0 100.958
SM 62 -1.23185 4.00624 80 30 914.445 0 0 0 88.5396
SM 63 -1.19029 5.56772 80 30 678.851 0 0 0 22.5049
SM 64 -1.82158 4.02155 80 30 942.656 0 0 0 17.4909
SM 65 -1.52408 2.69783 80 30 1409.98 0 0 0 12.9002
SM 66 -1.70294 2.64262 80 30 1436.58 0 0 0 8.05415
SM 67 -1.6337 2.52186 80 30 1504.36 0 0 0 9.07658
SM 68 -1.73545 2.57141 80 30 1471.87 0 0 0 13.7448
SM 69 -1.7479 2.62969 80 30 1443.47 0 0 0 8.99211
SM 70 -1.83182 2.65511 80 30 1427.46 0 0 0 10.3352
SM 71 -1.71299 2.64708 80 30 1434.5 0 0 0 15.6955
SM 72 -1.54597 2.58793 80 30 1463.7 0 0 0 10.3219
SM 73 -1.58989 2.722 80 30 1399.09 0 0 0 8.79876
SM 74 -2.06884 2.85254 80 30 1336.85 0 0 0 7.77621
SM 75 -1.62763 2.7859 80 30 1361.83 0 0 0 7.80117
SM 76 -7.82891 2.48733 80 30 1510.28 0 0 0 35.0986
SM 77 -1.66998 2.91616 80 30 1302.74 0 0 0 8.59488
SM 78 -1.81617 2.88699 80 30 1310.68 0 0 0 11.1988
SM 79 -1.69139 2.79967 80 30 1361.16 0 0 0 7.33488
SM 80 -1.10123 3.56816 80 30 1060.86 0 0 0 22.1908
SM 81 -1.44069 2.70761 80 30 1372.89 0 0 0 56.6124
SM 82 -1.18018 2.61122 80 30 1450.89 0 0 0 11.95
SM 83 -1.26962 2.65766 80 30 1421.7 0 0 0 19.7095
SM 84 -1.40214 2.62441 80 30 1451.3 0 0 0 7.12955
SM 85 -1.10149 2.50544 80 30 1503.17 0 0 0 23.011
SM 86 -1.27858 2.57148 80 30 1466.12 0 0 0 25.5586
SM 87 -1.32521 2.68709 80 30 1407.68 0 0 0 18.0285
SM 88 -1.22495 2.52864 80 30 1507.73 0 0 0 7.6649
SM 89 -1.08761 2.53572 80 30 1506.75 0 0 0 4.19127
SM 90 -1.26543 2.54437 80 30 1489.04 0 0 0 18.3215
SM 91 -1.06439 2.47067 80 30 1532.05 0 0 0 17.7991
SM 92 -1.2884 2.55785 80 30 1486.59 0 0 0 14.4924
