  pT   pT_err    RAA    RAA_err    Ncoll_err 
  1.25    0.05    0.469    0.099    0.148
  1.75    0.05    0.469    0.083    0.148
  2.25    0.05    0.457    0.083    0.144
  2.75    0.05    0.403    0.103    0.127
  3.25    0.05    0.283    0.059    0.089
  3.75    0.05    0.262    0.052    0.083
  4.25    0.05    0.247    0.042    0.078
  4.75    0.05    0.281    0.049    0.089
  5.25    0.05    0.262    0.066    0.082
  5.75    0.05    0.199    0.040    0.063
  6.25    0.05    0.211    0.048    0.067
  6.75    0.05    0.188    0.051    0.059
  7.25    0.05    0.294    0.092    0.093
  7.75    0.05    0.364    0.128    0.115
  8.25    0.05    0.235    0.090    0.074
  8.75    0.05    0.220    0.108    0.069
  9.25    0.05    0.425    0.253    0.134
  9.75    0.05    0.441    0.364    0.139
