   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.330    0.037    11.26    0.044    13.38  
  1.75   0.05      0.380    0.042    11.17    0.051    13.38  
  2.25   0.05      0.378    0.044    11.55    0.051    13.38  
  2.75   0.05      0.310    0.038    12.42    0.041    13.38  
  3.25   0.05      0.266    0.037    13.85    0.036    13.38  
  3.75   0.05      0.255    0.037    14.69    0.034    13.38  
  4.25   0.05      0.248    0.033    13.40    0.033    13.38  
  4.75   0.05      0.272    0.038    14.06    0.036    13.38  
  5.25   0.05      0.248    0.037    15.00    0.033    13.38  
  5.75   0.05      0.188    0.031    16.44    0.025    13.38  
  6.25   0.05      0.225    0.040    17.79    0.030    13.38  
  6.75   0.05      0.155    0.034    21.77    0.021    13.38  
  7.25   0.05      0.216    0.054    24.80    0.029    13.38  
  7.75   0.05      0.338    0.090    26.46    0.045    13.38  
  8.25   0.05      0.245    0.073    29.78    0.033    13.38  
  8.75   0.05      0.224    0.082    36.83    0.030    13.38  
  9.25   0.05      0.306    0.122    39.70    0.041    13.38  
  9.75   0.05      0.280    0.152    54.39    0.037    13.38  

