  pT     pT_err   RAA    RAA_err    RAA_err(%)    Ncoll_err 
  1.25    0.05    0.702    0.078    11.1    0.216
  1.75    0.05    0.762    0.084    11.0    0.235
  2.25    0.05    0.821    0.093    11.4    0.253
  2.75    0.05    0.749    0.091    12.1    0.231
  3.25    0.05    0.758    0.101    13.3    0.233
  3.75    0.05    0.763    0.109    14.3    0.235
  4.25    0.05    0.845    0.116    13.7    0.260
  4.75    0.05    0.788    0.123    15.6    0.243
  5.25    0.05    0.803    0.144    18.0    0.247
  5.75    0.05    0.799    0.155    19.4    0.246
  6.25    0.05    0.960    0.213    22.2    0.296
  6.75    0.05    0.729    0.205    28.2    0.224
  7.25    0.05    0.540    0.215    39.7    0.166
  7.75    0.05    0.607    0.335    55.3    0.187
