 <W> Shifting spectrum along the y-axis (Yield) ... 
   pT    epT        Npi0       eNpi0    eNpi0_stat    eNpi0_sys    eNpi0_ccuncorr    eNpi0_pTcorr.
  1.25   0.05      4.051e-02    5.060e-03    1.154e-03    4.926e-03    4.575e-03    1.566e-03  
  1.75   0.05      7.130e-03    9.006e-04    2.246e-04    8.721e-04    8.048e-04    2.856e-04  
  2.25   0.05      1.418e-03    1.848e-04    5.970e-05    1.749e-04    1.621e-04    5.836e-05  
  2.75   0.05      3.806e-04    5.116e-05    1.904e-05    4.748e-05    4.425e-05    1.603e-05  
  3.25   0.05      9.733e-05    1.463e-05    8.387e-06    1.199e-05    1.177e-05    4.089e-06  
  3.75   0.05      3.667e-05    5.951e-06    3.626e-06    4.719e-06    4.844e-06    1.600e-06  
  4.25   0.05      1.175e-05    2.425e-06    1.961e-06    1.426e-06    1.761e-06    4.833e-07  
  4.75   0.05      6.382e-06    1.381e-06    1.153e-06    7.598e-07    9.737e-07    2.571e-07  
  5.25   0.05      2.213e-06    8.067e-07    7.298e-07    3.438e-07    7.811e-07    1.106e-07  
  5.75   0.05      9.450e-07    4.457e-07    4.200e-07    1.490e-07    4.370e-07    4.726e-08  
 

   pT    epT        Npi0       eNpi0%    eNpi0_stat%    eNpi0_sys%   eNpi0_ccuncorr%   eNpi0_pTcorr%
  1.25   0.05      4.051e-02    12.49    2.85    12.16    11.29    3.86  
  1.75   0.05      7.130e-03    12.63    3.15    12.23    11.29    4.00  
  2.25   0.05      1.418e-03    13.03    4.21    12.33    11.44    4.12  
  2.75   0.05      3.806e-04    13.44    5.00    12.47    11.63    4.21  
  3.25   0.05      9.733e-05    15.03    8.62    12.32    12.09    4.20  
  3.75   0.05      3.667e-05    16.23    9.89    12.87    13.21    4.36  
  4.25   0.05      1.175e-05    20.64    16.69    12.14    14.98    4.11  
  4.75   0.05      6.382e-06    21.63    18.06    11.91    15.26    4.03  
  5.25   0.05      2.213e-06    36.46    32.98    15.54    35.30    5.00  
  5.75   0.05      9.450e-07    47.16    44.45    15.77    46.24    5.00  

