 <W> Shifting spectrum along the y-axis (Yield) ... 
   pT    epT        Npi0       eNpi0    eNpi0_stat    eNpi0_sys    eNpi0_ccuncorr    eNpi0_pTcorr.
  1.25   0.05      1.293e+00    1.348e-01    2.936e-02    1.315e-01    1.177e-01    4.973e-02  
  1.75   0.05      2.569e-01    2.677e-02    4.840e-03    2.633e-02    2.300e-02    1.066e-02  
  2.25   0.05      5.157e-02    5.540e-03    1.241e-03    5.399e-03    4.737e-03    2.265e-03  
  2.75   0.05      1.253e-02    1.402e-03    4.027e-04    1.343e-03    1.200e-03    5.721e-04  
  3.25   0.05      3.542e-03    4.120e-04    1.475e-04    3.847e-04    3.529e-04    1.665e-04  
  3.75   0.05      1.131e-03    1.304e-04    3.287e-05    1.262e-04    1.086e-04    5.636e-05  
  4.25   0.05      4.270e-04    5.001e-05    1.543e-05    4.757e-05    4.116e-05    2.203e-05  
  4.75   0.05      1.721e-04    2.084e-05    7.743e-06    1.935e-05    1.710e-05    9.157e-06  
  5.25   0.05      7.812e-05    9.965e-06    4.509e-06    8.886e-06    8.250e-06    4.239e-06  
  5.75   0.05      3.407e-05    4.857e-06    2.836e-06    3.943e-06    4.173e-06    1.808e-06  
  6.25   0.05      1.425e-05    2.504e-06    1.891e-06    1.642e-06    2.289e-06    6.689e-07  
  6.75   0.05      9.546e-06    1.637e-06    1.172e-06    1.144e-06    1.453e-06    5.444e-07  
  7.25   0.05      4.625e-06    9.425e-07    7.585e-07    5.594e-07    8.657e-07    2.604e-07  
  7.75   0.05      3.016e-06    6.984e-07    5.947e-07    3.661e-07    6.535e-07    1.669e-07  
  8.25   0.05      1.620e-06    5.036e-07    4.223e-07    2.742e-07    4.717e-07    8.101e-08  
 

   pT    epT        Npi0       eNpi0%    eNpi0_stat%    eNpi0_sys%   eNpi0_ccuncorr%   eNpi0_pTcorr%
  1.25   0.05      1.293e+00    10.42    2.27    10.17    9.10    3.85  
  1.75   0.05      2.569e-01    10.42    1.88    10.25    8.95    4.15  
  2.25   0.05      5.157e-02    10.74    2.41    10.47    9.19    4.39  
  2.75   0.05      1.253e-02    11.18    3.21    10.71    9.57    4.56  
  3.25   0.05      3.542e-03    11.63    4.17    10.86    9.96    4.70  
  3.75   0.05      1.131e-03    11.53    2.90    11.15    9.60    4.98  
  4.25   0.05      4.270e-04    11.71    3.61    11.14    9.64    5.16  
  4.75   0.05      1.721e-04    12.11    4.50    11.24    9.94    5.32  
  5.25   0.05      7.812e-05    12.76    5.77    11.37    10.56    5.43  
  5.75   0.05      3.407e-05    14.26    8.32    11.58    12.25    5.31  
  6.25   0.05      1.425e-05    17.57    13.27    11.52    16.06    4.69  
  6.75   0.05      9.546e-06    17.15    12.27    11.98    15.22    5.70  
  7.25   0.05      4.625e-06    20.38    16.40    12.09    18.72    5.63  
  7.75   0.05      3.016e-06    23.15    19.72    12.14    21.67    5.53  
  8.25   0.05      1.620e-06    31.08    26.07    16.92    29.11    5.00  

