emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 0.618187	 0.109181	 0.0530285	 0.0954385	 0.0760845	 0.0664921	 
1.75 0.05	 0.112246	 0.0202462	 0.00993688	 0.0176399	 0.0138322	 0.0123735	 
2.25 0.05	 0.0233476	 0.00430245	 0.00213769	 0.00373381	 0.00288073	 0.00263618	 
2.75 0.05	 0.0058514	 0.00110347	 0.000558014	 0.000951978	 0.000722873	 0.000676337	 
3.25 0.05	 0.00163935	 0.000314912	 0.00015998	 0.000271249	 0.000202774	 0.00019387	 
3.75 0.05	 0.000550411	 0.000107628	 5.48605e-05	 9.2596e-05	 6.81662e-05	 6.65644e-05	 
4.25 0.05	 0.000188046	 3.74148e-05	 1.91277e-05	 3.21558e-05	 2.33177e-05	 2.32445e-05	 
4.75 0.05	 8.00823e-05	 1.61923e-05	 8.27894e-06	 1.39158e-05	 9.94253e-06	 1.01133e-05	 
5.25 0.05	 3.70639e-05	 7.64747e-06	 3.95856e-06	 6.54321e-06	 4.60733e-06	 4.77982e-06	 
5.75 0.05	 1.54247e-05	 3.26937e-06	 1.74335e-06	 2.76577e-06	 1.91978e-06	 2.03046e-06	 
6.25 0.05	 8.65505e-06	 1.90341e-06	 1.0675e-06	 1.57589e-06	 1.07855e-06	 1.16248e-06	 
6.75 0.05	 4.0982e-06	 9.79178e-07	 6.20425e-07	 7.57536e-07	 5.11329e-07	 5.61401e-07	 
7.25 0.05	 1.98735e-06	 4.63084e-07	 2.74634e-07	 3.72858e-07	 2.48266e-07	 2.77558e-07	 
7.75 0.05	 1.37653e-06	 3.39026e-07	 2.16717e-07	 2.60715e-07	 1.71378e-07	 1.96844e-07	 
8.25 0.05	 9.82047e-07	 2.42892e-07	 1.55267e-07	 1.86785e-07	 1.21283e-07	 1.44361e-07	 
8.75 0.05	 6.94835e-07	 1.76228e-07	 1.15945e-07	 1.32714e-07	 8.51173e-08	 1.0492e-07	 
9.25 0.05	 2.23011e-07	 9.86981e-08	 8.8948e-08	 4.27735e-08	 2.70958e-08	 3.45667e-08	 
9.75 0.05	 2.79866e-07	 1.15804e-07	 1.02495e-07	 5.39022e-08	 3.37239e-08	 4.44987e-08	 
10.25 0.05	 2.38262e-07	 1.01798e-07	 9.08134e-08	 4.59965e-08	 2.86034e-08	 3.83721e-08	 
10.75 0.05	 1.26436e-07	 6.08355e-08	 5.57186e-08	 2.44211e-08	 1.51913e-08	 2.03752e-08	 
11.25 0.05	 4.89918e-08	 3.70396e-08	 3.58092e-08	 9.46767e-09	 5.89127e-09	 7.89993e-09	 
11.75 0.05	 1.23089e-07	 6.41567e-08	 5.95791e-08	 2.37993e-08	 1.48138e-08	 1.98605e-08	 
12.25 0.05	 2.37797e-08	 2.46181e-08	 2.41844e-08	 4.60019e-09	 2.86427e-09	 3.83924e-09	 
12.75 0.05	 5.02496e-08	 3.79985e-08	 3.67327e-08	 9.72581e-09	 6.05759e-09	 8.11782e-09	 
