emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 0.0306158	 0.00544845	 0.00271014	 0.0047266	 0.0037681	 0.00324069	 
1.75 0.05	 0.00528871	 0.000955851	 0.000472076	 0.000831141	 0.000651732	 0.000574684	 
2.25 0.05	 0.00119147	 0.000219537	 0.000109039	 0.000190544	 0.000147009	 0.000132818	 
2.75 0.05	 0.000313661	 5.91789e-05	 2.99674e-05	 5.10303e-05	 3.87493e-05	 3.58472e-05	 
3.25 0.05	 9.90633e-05	 1.92917e-05	 1.01735e-05	 1.63912e-05	 1.22534e-05	 1.16001e-05	 
3.75 0.05	 2.89485e-05	 5.80421e-06	 3.1578e-06	 4.87003e-06	 3.58516e-06	 3.47122e-06	 
4.25 0.05	 1.09378e-05	 2.33259e-06	 1.39382e-06	 1.87036e-06	 1.35629e-06	 1.34231e-06	 
4.75 0.05	 5.46855e-06	 1.20629e-06	 7.43058e-07	 9.50265e-07	 6.78941e-07	 6.86489e-07	 
5.25 0.05	 2.91148e-06	 6.88702e-07	 4.58395e-07	 5.13989e-07	 3.6192e-07	 3.73678e-07	 
5.75 0.05	 7.15516e-07	 2.74796e-07	 2.43008e-07	 1.28298e-07	 8.90542e-08	 9.38457e-08	 
6.25 0.05	 3.01309e-07	 1.37236e-07	 1.25794e-07	 5.48615e-08	 3.75478e-08	 4.03664e-08	 
6.75 0.05	 2.2203e-07	 1.07176e-07	 9.90065e-08	 4.10415e-08	 2.77026e-08	 3.03698e-08	 
7.25 0.05	 2.04183e-07	 9.89348e-08	 9.12173e-08	 3.83079e-08	 2.55072e-08	 2.85027e-08	 
7.75 0.05	 9.10095e-08	 5.77387e-08	 5.51057e-08	 1.72372e-08	 1.13307e-08	 1.30144e-08	 
8.25 0.05	 8.30251e-08	 5.26936e-08	 5.02718e-08	 1.57914e-08	 1.02536e-08	 1.22047e-08	 
