
   pT    epT        Npi0       eNpi0%    eNpi0_stat%    eNpi0_sys%   eNpi0_ccuncorr%   eNpi0_pTcorr%
  1.25   0.05      1.139e+00    14.22    0.37    14.21    12.97    5.00  
  1.75   0.05      1.994e-01    14.27    0.40    14.26    12.97    5.00  
  2.25   0.05      4.032e-02    14.38    0.51    14.37    12.97    5.00  
  2.75   0.05      9.785e-03    14.53    0.66    14.51    12.98    5.00  
  3.25   0.05      2.737e-03    14.71    0.84    14.68    12.99    5.00  
  3.75   0.05      8.671e-04    14.92    1.09    14.88    13.01    5.00  
  4.25   0.05      3.015e-04    15.16    1.47    15.09    13.04    5.00  
  4.75   0.05      1.203e-04    15.43    1.92    15.31    13.10    5.00  
  5.25   0.05      5.213e-05    15.74    2.50    15.54    13.20    5.00  
  5.75   0.05      2.452e-05    16.11    3.28    15.77    13.37    5.00  
  6.25   0.05      1.174e-05    16.58    4.34    16.01    13.67    5.00  
  6.75   0.05      6.555e-06    17.11    5.40    16.24    14.04    5.00  
  7.25   0.05      3.561e-06    17.86    6.92    16.47    14.69    5.00  
  7.75   0.05      2.261e-06    18.64    8.28    16.70    15.38    5.00  
  8.25   0.05      1.263e-06    19.99    10.64    16.92    16.77    5.00  
  8.75   0.05      9.669e-07    20.58    11.39    17.15    17.25    5.00  
  9.25   0.05      6.013e-07    22.51    14.33    17.36    19.32    5.00  
  9.75   0.05      3.821e-07    25.11    17.94    17.57    22.13    5.00  
  10.25   0.05      2.040e-07    23.00    14.59    17.78    19.51    5.00  
  10.75   0.05      2.042e-07    23.05    14.43    17.98    19.40    5.00  
  11.25   0.05      1.136e-07    26.58    19.39    18.18    23.32    5.00  
  11.75   0.05      1.327e-07    25.30    17.40    18.37    21.70    5.00  
  12.25   0.05      6.091e-08    31.13    25.00    18.55    28.16    5.00  
  12.75   0.05      3.735e-08    36.76    31.62    18.74    34.18    5.00  
  13.25   0.05      5.161e-08    31.95    25.75    18.91    28.83    5.00  
  13.75   0.05      1.098e-08    60.81    57.73    19.09    59.17    5.00  
  14.25   0.05      1.830e-08    48.69    44.72    19.26    46.56    5.00  
  14.75   0.05      1.474e-08    59.18    55.90    19.42    57.38    5.00
