 <I> Constructing full-corrected noPID spectrum for centrality class: 0 (0 - 10%) from raw yields file: yields_0_10_noPID.txt
 <I> Spectrum shifted (after doing and undoing the 1/pT normalization) along the x-axis (pT) to correct for the true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.14815e+06 +/- 1774.3
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.21  0.05    2.570e+00    3.663e-01    14.25    2.736e-02    3.653e-01    3.343e-01    1.285e-01
  1.71  0.05    4.466e-01    6.393e-02    14.31    5.445e-03    6.369e-02    5.814e-02    2.233e-02
  2.22  0.05    8.993e-02    1.300e-02    14.45    1.407e-03    1.292e-02    1.174e-02    4.496e-03
  2.72  0.05    2.087e-02    3.058e-03    14.66    4.314e-04    3.028e-03    2.739e-03    1.043e-03
  3.22  0.05    5.741e-03    8.551e-04    14.89    1.427e-04    8.431e-04    7.578e-04    2.871e-04
  3.73  0.05    1.766e-03    2.685e-04    15.21    5.554e-05    2.627e-04    2.355e-04    8.829e-05
  4.23  0.05    6.200e-04    9.671e-05    15.60    2.452e-05    9.355e-05    8.402e-05    3.100e-05
  4.73  0.05    2.724e-04    4.339e-05    15.93    1.198e-05    4.170e-05    3.728e-05    1.362e-05
  5.23  0.05    1.249e-04    2.049e-05    16.40    6.554e-06    1.941e-05    1.747e-05    6.246e-06
  5.73  0.05    5.074e-05    8.870e-06    17.48    3.824e-06    8.003e-06    7.608e-06    2.537e-06
  6.23  0.05    2.426e-05    4.541e-06    18.72    2.355e-06    3.882e-06    3.928e-06    1.213e-06
  6.73  0.05    1.459e-05    2.822e-06    19.34    1.533e-06    2.369e-06    2.434e-06    7.293e-07
  7.24  0.05    8.195e-06    1.736e-06    21.19    1.092e-06    1.350e-06    1.523e-06    4.097e-07
  7.74  0.05    5.698e-06    1.271e-06    22.31    8.433e-07    9.516e-07    1.121e-06    2.849e-07
  8.24  0.05    3.509e-06    8.469e-07    24.14    6.039e-07    5.938e-07    7.560e-07    1.754e-07
  8.74  0.05    1.502e-06    4.603e-07    30.65    3.815e-07    2.575e-07    4.283e-07    7.509e-08
  9.24  0.05    1.506e-06    4.499e-07    29.88    3.661e-07    2.614e-07    4.149e-07    7.528e-08
  9.74  0.05    7.651e-07    2.875e-07    37.58    2.541e-07    1.344e-07    2.728e-07    3.826e-08


