 <I> Constructing full-corrected tof1chisq1 spectrum for centrality class: 2 (10 - 20%) from raw yields file: yields_10_20_tof1chisq1.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.17704e+06 +/- 1782.43
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    1.986e+00    2.827e-01    14.23    1.415e-02    2.823e-01    2.578e-01    9.932e-02
  1.75  0.05    3.428e-01    4.897e-02    14.29    2.849e-03    4.889e-02    4.452e-02    1.714e-02
  2.25  0.05    7.154e-02    1.031e-02    14.41    7.910e-04    1.028e-02    9.307e-03    3.577e-03
  2.75  0.05    1.718e-02    2.505e-03    14.58    2.477e-04    2.492e-03    2.240e-03    8.588e-04
  3.25  0.05    4.617e-03    6.838e-04    14.81    8.962e-05    6.779e-04    6.051e-04    2.308e-04
  3.75  0.05    1.562e-03    2.353e-04    15.07    3.705e-05    2.324e-04    2.058e-04    7.810e-05
  4.25  0.05    5.365e-04    8.275e-05    15.42    1.716e-05    8.095e-05    7.162e-05    2.683e-05
  4.75  0.05    2.162e-04    3.428e-05    15.86    8.927e-06    3.310e-05    2.941e-05    1.081e-05
  5.25  0.05    9.210e-05    1.519e-05    16.49    5.091e-06    1.431e-05    1.298e-05    4.605e-06
  5.75  0.05    3.624e-05    6.437e-06    17.76    2.961e-06    5.716e-06    5.553e-06    1.812e-06
  6.25  0.05    2.037e-05    3.808e-06    18.69    1.966e-06    3.261e-06    3.292e-06    1.019e-06
  6.75  0.05    1.186e-05    2.367e-06    19.95    1.375e-06    1.926e-06    2.063e-06    5.930e-07
  7.25  0.05    6.672e-06    1.471e-06    22.05    9.780e-07    1.099e-06    1.306e-06    3.336e-07
  7.75  0.05    4.464e-06    1.030e-06    23.07    7.103e-07    7.455e-07    9.161e-07    2.232e-07
  8.25  0.05    2.119e-06    5.900e-07    27.84    4.684e-07    3.587e-07    5.430e-07    1.060e-07
  8.75  0.05    1.983e-06    5.703e-07    28.76    4.579e-07    3.400e-07    5.251e-07    9.915e-08
  9.25  0.05    9.901e-07    3.448e-07    34.83    2.989e-07    1.719e-07    3.253e-07    4.950e-08


