 <I> Constructing full-corrected tof1chisq1 spectrum for centrality class: 2 (10 - 20%) from raw yields file: yields_10_20_tof1chisq1.txt
 <I> No correction for the true mean value of the $p_T$ bin applied to the steeply falling spectrum
 <I> Total # of events in centrality class: 3.17704e+06 +/- 1782.43
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    2.352e+00    3.347e-01    14.23    1.675e-02    3.343e-01    3.053e-01    1.176e-01
  1.75  0.05    3.881e-01    5.545e-02    14.29    3.226e-03    5.536e-02    5.041e-02    1.941e-02
  2.25  0.05    7.868e-02    1.134e-02    14.41    8.700e-04    1.130e-02    1.024e-02    3.934e-03
  2.75  0.05    1.852e-02    2.700e-03    14.58    2.671e-04    2.687e-03    2.415e-03    9.258e-04
  3.25  0.05    4.907e-03    7.268e-04    14.81    9.525e-05    7.205e-04    6.431e-04    2.453e-04
  3.75  0.05    1.643e-03    2.475e-04    15.07    3.896e-05    2.444e-04    2.164e-04    8.213e-05
  4.25  0.05    5.597e-04    8.632e-05    15.42    1.790e-05    8.445e-05    7.472e-05    2.798e-05
  4.75  0.05    2.241e-04    3.554e-05    15.86    9.255e-06    3.431e-05    3.048e-05    1.120e-05
  5.25  0.05    9.500e-05    1.567e-05    16.49    5.252e-06    1.476e-05    1.339e-05    4.750e-06
  5.75  0.05    3.723e-05    6.614e-06    17.76    3.042e-06    5.872e-06    5.705e-06    1.862e-06
  6.25  0.05    2.086e-05    3.899e-06    18.69    2.013e-06    3.339e-06    3.371e-06    1.043e-06
  6.75  0.05    1.211e-05    2.417e-06    19.95    1.404e-06    1.967e-06    2.106e-06    6.056e-07
  7.25  0.05    6.799e-06    1.499e-06    22.05    9.965e-07    1.120e-06    1.330e-06    3.399e-07
  7.75  0.05    4.540e-06    1.047e-06    23.07    7.224e-07    7.581e-07    9.317e-07    2.270e-07
  8.25  0.05    2.152e-06    5.990e-07    27.84    4.756e-07    3.642e-07    5.513e-07    1.076e-07
  8.75  0.05    2.011e-06    5.782e-07    28.76    4.642e-07    3.447e-07    5.324e-07    1.005e-07
  9.25  0.05    1.003e-06    3.492e-07    34.83    3.027e-07    1.741e-07    3.294e-07    5.013e-08
