 <I> Constructing full-corrected noPID spectrum for centrality class: 8 (40 - 50%) from raw yields file: yields_40_50_noPID.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.18171e+06 +/- 1783.74
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    6.514e-01    9.275e-02    14.24    5.473e-03    9.259e-02    8.461e-02    3.257e-02
  1.75  0.05    1.145e-01    1.637e-02    14.29    1.091e-03    1.633e-02    1.488e-02    5.726e-03
  2.25  0.05    2.279e-02    3.287e-03    14.42    2.902e-04    3.274e-03    2.968e-03    1.139e-03
  2.75  0.05    5.719e-03    8.348e-04    14.60    9.004e-05    8.299e-04    7.468e-04    2.860e-04
  3.25  0.05    1.665e-03    2.469e-04    14.83    3.440e-05    2.445e-04    2.185e-04    8.326e-05
  3.75  0.05    5.240e-04    7.949e-05    15.17    1.549e-05    7.797e-05    6.966e-05    2.620e-05
  4.25  0.05    2.001e-04    3.125e-05    15.62    8.081e-06    3.019e-05    2.716e-05    1.000e-05
  4.75  0.05    8.352e-05    1.357e-05    16.25    4.547e-06    1.279e-05    1.174e-05    4.176e-06
  5.25  0.05    3.710e-05    6.404e-06    17.26    2.788e-06    5.765e-06    5.559e-06    1.855e-06
  5.75  0.05    1.946e-05    3.565e-06    18.31    1.812e-06    3.070e-06    3.106e-06    9.732e-07
  6.25  0.05    8.514e-06    1.778e-06    20.88    1.142e-06    1.363e-06    1.588e-06    4.257e-07
  6.75  0.05    4.564e-06    1.094e-06    23.96    8.041e-07    7.412e-07    9.983e-07    2.282e-07
  7.25  0.05    3.577e-06    8.801e-07    24.60    6.537e-07    5.892e-07    8.015e-07    1.789e-07
  7.75  0.05    1.558e-06    4.959e-07    31.83    4.221e-07    2.602e-07    4.680e-07    7.790e-08


