 <I> Constructing full-corrected r345 spectrum for pi0 and centrality class: 12 (60 - 70%) from raw yields file: yields_60_70_r345.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 1.29516e+06 +/- 657.055
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    1.627e-01    2.329e-02    14.32    2.841e-03    2.312e-02    2.127e-02    8.133e-03
  1.75  0.05    2.961e-02    4.265e-03    14.40    5.941e-04    4.223e-03    3.884e-03    1.480e-03
  2.25  0.05    6.302e-03    9.207e-04    14.61    1.672e-04    9.054e-04    8.337e-04    3.151e-04
  2.75  0.05    1.765e-03    2.623e-04    14.86    5.674e-05    2.561e-04    2.357e-04    8.824e-05
  3.25  0.05    5.505e-04    8.453e-05    15.36    2.474e-05    8.083e-05    7.552e-05    2.752e-05
  3.75  0.05    1.825e-04    2.960e-05    16.22    1.179e-05    2.715e-05    2.643e-05    9.125e-06
  4.25  0.05    6.402e-05    1.153e-05    18.00    6.287e-06    9.660e-06    1.041e-05    3.201e-06
  4.75  0.05    2.779e-05    5.656e-06    20.35    3.726e-06    4.256e-06    5.183e-06    1.390e-06
  5.25  0.05    8.431e-06    2.552e-06    30.27    2.190e-06    1.310e-06    2.448e-06    4.215e-07
  5.75  0.05    5.941e-06    1.786e-06    30.06    1.520e-06    9.369e-07    1.704e-06    2.970e-07
  6.25  0.05    2.768e-06    1.074e-06    38.81    9.786e-07    4.430e-07    1.042e-06    1.384e-07
  6.75  0.05    9.525e-07    6.536e-07    68.62    6.350e-07    1.547e-07    6.469e-07    4.763e-08


