 <I> Constructing full-corrected noPID spectrum for centrality class: 14 (70 - 80%) from raw yields file: yields_70_80_noPID.txt
 <I> No correction for the true mean value of the $p_T$ bin applied to the steeply falling spectrum
 <I> Total # of events in centrality class: 3.11805e+06 +/- 1765.8
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    9.504e-02    1.356e-02    14.27    1.184e-03    1.351e-02    1.238e-02    4.752e-03
  1.75  0.05    1.558e-02    2.236e-03    14.34    2.400e-04    2.223e-03    2.034e-03    7.792e-04
  2.25  0.05    3.211e-03    4.663e-04    14.52    6.768e-05    4.613e-04    4.217e-04    1.606e-04
  2.75  0.05    7.849e-04    1.164e-04    14.83    2.392e-05    1.139e-04    1.045e-04    3.924e-05
  3.25  0.05    2.652e-04    4.036e-05    15.22    1.064e-05    3.893e-05    3.598e-05    1.326e-05
  3.75  0.05    8.435e-05    1.354e-05    16.05    5.075e-06    1.255e-05    1.205e-05    4.218e-06
  4.25  0.05    3.542e-05    6.152e-06    17.37    3.047e-06    5.344e-06    5.510e-06    1.771e-06
  4.75  0.05    1.102e-05    2.271e-06    20.61    1.520e-06    1.687e-06    2.086e-06    5.510e-07
  5.25  0.05    7.529e-06    1.716e-06    22.79    1.256e-06    1.170e-06    1.590e-06    3.765e-07
  5.75  0.05    2.660e-06    8.037e-07    30.21    6.855e-07    4.195e-07    7.673e-07    1.330e-07
  6.25  0.05    8.047e-07    4.194e-07    52.13    3.992e-07    1.288e-07    4.126e-07    4.023e-08
  6.75  0.05    2.763e-07    2.004e-07    72.55    1.953e-07    4.486e-08    1.986e-07    1.381e-08
  7.25  0.05    2.548e-07    1.850e-07    72.60    1.802e-07    4.197e-08    1.832e-07    1.274e-08
  7.75  0.05    1.183e-07    1.200e-07    101.38    1.183e-07    1.976e-08    1.193e-07    5.916e-09
