pi0 invariant cross section (mb/GeV^2) vs pt (GeV/c)
(normalized for BBC cross section in pp 21.8 mb)
the 9.6% overall normalization error is not included.
Also not included the 3% trigger bias error 
(it's common in PbSc and PbGl and accounted after combining specta)

To obtain invariant yields one should divide values 
by 42.2mb, the norm. error changes to 9.8%.

Table.1
Bin shift correction in each bin done for pt:

 pt       cross section  stat.error  syst.error

 1.215    3.847e-01      3.713e-03   3.498e-02
 1.719    6.013e-02      8.486e-04   4.934e-03
 2.223    1.209e-02      2.609e-04   9.693e-04
 2.726    3.289e-03      1.087e-04   2.673e-04
 3.228    9.911e-04      5.159e-05   8.373e-05
 3.730    3.354e-04      2.579e-05   2.962e-05
 4.232    1.151e-04      2.154e-06   1.117e-05
 4.733    4.782e-05      1.289e-06   4.826e-06
 5.234    2.150e-05      7.987e-07   2.253e-06
 5.735    1.075e-05      5.327e-07   1.168e-06
 6.236    4.822e-06      3.461e-07   5.421e-07
 6.737    2.851e-06      2.494e-07   3.310e-07
 7.452    1.154e-06      1.075e-07   1.398e-07
 8.457    4.592e-07      6.485e-08   5.870e-08
 9.460    1.902e-07      3.799e-08   2.549e-08
10.861    5.485e-08      1.316e-08   7.780e-09
13.250    9.760e-09      4.026e-09   1.497e-09

Table.2
Bin shift correction in each bin done for cross section value:

 pt       cross section  stat.error  syst.error

 1.250    3.343e-01      3.227e-03   3.040e-02
 1.750    5.436e-02      7.671e-04   4.460e-03
 2.250    1.119e-02      2.416e-04   8.978e-04
 2.750    3.096e-03      1.023e-04   2.517e-04
 3.250    9.439e-04      4.913e-05   7.974e-05
 3.750    3.222e-04      2.477e-05   2.845e-05
 4.250    1.112e-04      2.082e-06   1.080e-05
 4.750    4.646e-05      1.253e-06   4.689e-06
 5.250    2.097e-05      7.791e-07   2.198e-06
 5.750    1.052e-05      5.213e-07   1.143e-06
 6.250    4.731e-06      3.396e-07   5.318e-07
 6.750    2.803e-06      2.452e-07   3.255e-07
 7.500    1.090e-06      1.015e-07   1.321e-07
 8.500    4.383e-07      6.190e-08   5.604e-08
 9.500    1.830e-07      3.655e-08   2.452e-08
11.000    4.867e-08      1.167e-08   6.903e-09
13.500    8.090e-09      3.337e-09   1.241e-09

**************************************************************

Table.3
Last bins as requested by AuAu group:

 pt       cross section  stat.error  syst.error

 7.250    1.518e-06      1.757e-07   1.818e-07
 7.750    7.712e-07      1.210e-07   9.501e-08
 8.250    5.946e-07      1.069e-07   7.522e-08
 8.750    3.180e-07      7.240e-08   4.125e-08
 9.250    2.637e-07      6.323e-08   3.501e-08
 9.750    1.161e-07      4.184e-08   1.575e-08

Table.4 
Request from AuAu group: no bin shift correction, not divided by pt 

 pt       cross section  stat.error  syst.error

 1.250    4.674e-01      4.511e-03   4.201e-02
 1.750    1.034e-01      1.459e-03   8.455e-03
 2.250    2.687e-02      5.800e-04   2.155e-03
 2.750    8.965e-03      2.962e-04   7.295e-04
 3.250    3.199e-03      1.665e-04   2.708e-04
 3.750    1.251e-03      9.618e-05   1.107e-04
 4.250    4.869e-04      9.115e-06   4.732e-05
 4.750    2.263e-04      6.102e-06   2.287e-05
 5.250    1.125e-04      4.181e-06   1.181e-05
 5.750    6.168e-05      3.055e-06   6.708e-06
 6.250    3.007e-05      2.159e-06   3.383e-06
 6.750    1.921e-05      1.680e-06   2.232e-06
 7.250    1.115e-05      1.291e-06   1.336e-06
 7.750    6.049e-06      9.492e-07   7.452e-07
 8.250    4.959e-06      8.918e-07   6.273e-07
 8.750    2.810e-06      6.398e-07   3.645e-07
 9.250    2.461e-06      5.901e-07   3.268e-07
 9.750    1.141e-06      4.114e-07   1.548e-07



