 pT     inv. yield     stat. err      sys. err
 1.250  6.507170e-03  9.473998e-04  7.668824e-04
 1.750  1.213258e-03  1.115367e-04  1.471586e-04
 2.250  2.485200e-04  2.523888e-05  3.078466e-05
 2.750  6.207800e-05  1.230256e-05  8.662841e-06
 3.250  2.269486e-05  3.096454e-06  2.943951e-06
 3.750  7.640169e-06  9.303005e-07  1.010071e-06
 4.250  2.827011e-06  1.249067e-07  4.051250e-07
 4.750  1.080156e-06  4.851455e-08  1.572300e-07
 5.250  5.106172e-07  9.551475e-08  7.621829e-08
 5.750  2.631984e-07  2.106987e-08  4.071052e-08
 6.250  1.244749e-07  1.364888e-08  1.960688e-08
 6.750  7.079422e-08  9.847607e-09  1.231791e-08
 7.250  3.129509e-08  6.513469e-09  4.839555e-09
 7.750  1.619396e-08  4.331598e-09  2.537002e-09
 8.250  1.619402e-08  4.184980e-09  3.092166e-09
 8.750  8.174544e-09  2.891503e-09  1.718534e-09
 9.250  3.846632e-09  1.923769e-09  6.197326e-10
 9.750  1.803143e-09  1.275165e-09  3.975902e-10



 1.184  7.767214e-003  1.130854e-003  9.113059e-004
 1.693  1.370620e-003  1.260032e-004  1.656469e-004
 2.200  2.718709e-004  2.761032e-005  3.357562e-005
 2.706  6.651924e-005  1.318272e-005  9.258620e-006
 3.210  2.397557e-005  3.271193e-006  3.103087e-006
 3.714  7.989443e-006  9.728296e-007  1.054152e-006
 4.217  2.933929e-006  1.721231e-007  4.197047e-007
 4.720  1.114532e-006  6.600147e-008  1.619770e-007
 5.222  5.244866e-007  1.001757e-007  7.817654e-008
 5.724  2.693730e-007  2.393952e-008  4.161144e-008
 6.225  1.270230e-007  1.476588e-008  1.998450e-008
 6.727  7.207001e-008  1.040380e-008  1.252624e-008
 7.416  2.401042e-008  4.057312e-009  3.729105e-009
 8.424  1.230107e-008  2.611679e-009  2.430912e-009
 9.431  2.840520e-009  1.165185e-009  5.134603e-010
10.436  1.688034e-009  8.467110e-010  1.928666e-010
11.441  7.620153e-010  5.396867e-010  1.831256e-010
