0.55	    0.241557	0.0032156
0.65	    0.192097	0.00249422
0.75	    0.14189	0.00198826
0.85	    0.105064	0.00163386
0.95	    0.0790947	0.00142915
1.05	    0.0557447	0.00120027
1.15	    0.0407462	0.00104062
1.3	    0.0253992   0.000510529
1.5	    0.0128266   0.000342829
1.7	    0.00701374  0.000225299
1.9	    0.00381628  0.000161182
2.1	    0.00206462  0.0001117
2.4	    0.000933692 4.94809e-05
2.8	    0.000346977 3.11536e-05
3.2	    0.000117891 1.65266e-05
3.6	    6.22448e-05 1.18827e-05


centrality: 60-91.4 %
pt [GeV/c]  yield   stat. error on yield 
