  1.25  0.975963354  0.905137599
  1.75  0.98931545  0.959635973
  2.25  0.996561527  0.986819386
  2.75  1.0014925  1.00354481
  3.25  1.00501752  1.01455092
  3.75  1.00843787  1.02343845
  4.25  1.01119399  1.03009951
  4.75  1.01359224  1.03495145
  5.25  1.01598585  1.03907633
  5.75  1.01725471  1.0425204
  6.25  1.01854229  1.04532576
  6.75  1.01946163  1.04720485
  7.25  1.02076566  1.04931867
  7.75  1.02171767  1.05133259
  8.25  1.02234972  1.0517571
  8.75  1.02282023  1.05274487
  9.25  1.02349305  1.05347764
  9.75  1.02366352  1.05433834
  10.25  1.0238241  1.05497861
  10.75  1.02436972  1.05546224
  11.25  1.02474904  1.05565691
  11.75  1.02495766  1.05592358
  12.25  1.02471173  1.05580723
  12.75  1.02508187  1.0561614
  13.25  1.02508056  1.05625224
  13.75  1.02480114  1.05615354
  14.25  1.02607632  1.05700421
  14.75  1.02494156  1.05611849
  15.25  1.02290845  1.05378485
  15.75  1.02413309  1.05550611
  16.25  1.02289224  1.05432868
  16.75  1.02460849  1.05308115
  17.25  1.02401638  1.05263162
  17.75  1.02307689  1.05608976
  18.25  1.02358115  1.05475628
  18.75  1.02083337  1.05307543
  19.25  1.02458513  1.05408728
  19.75  1.02047014  1.05458689
  20.25  1.02245092  1.05519176


   pt      R           R_g

NLO (pi0) scales factoriz. = renormaliz. = pt. 
PDF: CTEQ5 (no change w/ other params.)
Frag. function: KKP
RdA: using NLO(nPDF)/NLO(proton-PDF)
RdA: using NLO(nPDF w/ extra small-x gluon shadowing)/NLO(proton-PDF)

