scale pt/2

  3.000E+00  5.365E+05
  3.500E+00  1.171E+05
  4.000E+00  3.118E+04
  4.500E+00  9.622E+03
  5.000E+00  3.312E+03
  5.500E+00  1.240E+03
  6.000E+00  4.974E+02
  6.500E+00  2.103E+02
  7.000E+00  9.256E+01
  7.500E+00  4.224E+01
  8.000E+00  1.982E+01
  8.500E+00  9.493E+00
  9.000E+00  4.632E+00
  9.500E+00  2.310E+00
  1.000E+01  1.163E+00
  1.050E+01  5.926E-01
  1.100E+01  3.043E-01
  1.150E+01  1.571E-01
  1.200E+01  8.132E-02
  1.250E+01  4.221E-02
  1.300E+01  2.196E-02
  1.350E+01  1.142E-02
  1.400E+01  5.932E-03
  1.450E+01  3.080E-03
  1.500E+01  1.588E-03

scale pt
  2.000E+00  5.332E+06
  2.500E+00  7.827E+05
  3.000E+00  1.578E+05
  3.500E+00  3.961E+04
  4.000E+00  1.158E+04
  4.500E+00  3.794E+03
  5.000E+00  1.368E+03
  5.500E+00  5.278E+02
  6.000E+00  2.155E+02
  6.500E+00  9.196E+01
  7.000E+00  4.070E+01
  7.500E+00  1.853E+01
  8.000E+00  8.641E+00
  8.500E+00  4.113E+00
  9.000E+00  1.991E+00
  9.500E+00  9.773E-01
  1.000E+01  4.848E-01
  1.050E+01  2.438E-01
  1.100E+01  1.227E-01
  1.150E+01  6.230E-02
  1.200E+01  3.171E-02
  1.250E+01  1.619E-02
  1.300E+01  8.274E-03
  1.350E+01  4.216E-03
  1.400E+01  2.152E-03
  1.450E+01  1.094E-03
  1.500E+01  5.550E-04

scale 2*pt

  2.000E+00  1.778E+06
  2.500E+00  2.865E+05
  3.000E+00  6.169E+04
  3.500E+00  1.614E+04
  4.000E+00  4.865E+03
  4.500E+00  1.629E+03
  5.000E+00  5.922E+02
  5.500E+00  2.296E+02
  6.000E+00  9.397E+01
  6.500E+00  4.005E+01
  7.000E+00  1.762E+01
  7.500E+00  8.001E+00
  8.000E+00  3.708E+00
  8.500E+00  1.759E+00
  9.000E+00  8.448E-01
  9.500E+00  4.121E-01
  1.000E+01  2.031E-01
  1.050E+01  1.008E-01
  1.100E+01  5.049E-02
  1.150E+01  2.535E-02
  1.200E+01  1.280E-02
  1.250E+01  6.467E-03
  1.300E+01  3.272E-03
  1.350E+01  1.653E-03
  1.400E+01  8.358E-04
  1.450E+01  4.199E-04
  1.500E+01  2.102E-04


charged  pi, charged K,p+pbar for two
fragmentation fcts. KKP and AKK). Each file contains
the results for scale pt/2,pt,2pt. Columns are
pt and E d^3sigma/dp3 in pb/GeV2, averaged over |eta|<1.
charges are summed, that is for pions it's pi+ + pi-
