scale pt/2

  2.500E+00  7.104E+05
  3.000E+00  1.602E+05
  3.500E+00  4.059E+04
  4.000E+00  1.247E+04
  4.500E+00  4.381E+03
  5.000E+00  1.701E+03
  5.500E+00  7.099E+02
  6.000E+00  3.141E+02
  6.500E+00  1.459E+02
  7.000E+00  7.023E+01
  7.500E+00  3.491E+01
  8.000E+00  1.780E+01
  8.500E+00  9.283E+00
  9.000E+00  4.915E+00
  9.500E+00  2.658E+00
  1.000E+01  1.458E+00
  1.050E+01  8.066E-01
  1.100E+01  4.498E-01
  1.150E+01  2.524E-01
  1.200E+01  1.426E-01
  1.250E+01  8.087E-02
  1.300E+01  4.593E-02
  1.350E+01  2.618E-02
  1.400E+01  1.488E-02
  1.450E+01  8.455E-03
  1.500E+01  4.805E-03

scale pt

  2.000E+00  1.810E+06
  2.500E+00  3.045E+05
  3.000E+00  6.994E+04
  3.500E+00  1.971E+04
  4.000E+00  6.433E+03
  4.500E+00  2.339E+03
  5.000E+00  9.321E+02
  5.500E+00  3.956E+02
  6.000E+00  1.768E+02
  6.500E+00  8.234E+01
  7.000E+00  3.976E+01
  7.500E+00  1.974E+01
  8.000E+00  1.004E+01
  8.500E+00  5.231E+00
  9.000E+00  2.754E+00
  9.500E+00  1.478E+00
  1.000E+01  8.015E-01
  1.050E+01  4.391E-01
  1.100E+01  2.424E-01
  1.150E+01  1.345E-01
  1.200E+01  7.518E-02
  1.250E+01  4.212E-02
  1.300E+01  2.370E-02
  1.350E+01  1.332E-02
  1.400E+01  7.502E-03
  1.450E+01  4.216E-03
  1.500E+01  2.367E-03

scale 2*pt

  2.000E+00  7.716E+05
  2.500E+00  1.420E+05
  3.000E+00  3.464E+04
  3.500E+00  1.015E+04
  4.000E+00  3.391E+03
  4.500E+00  1.256E+03
  5.000E+00  5.015E+02
  5.500E+00  2.135E+02
  6.000E+00  9.525E+01
  6.500E+00  4.434E+01
  7.000E+00  2.134E+01
  7.500E+00  1.055E+01
  8.000E+00  5.356E+00
  8.500E+00  2.763E+00
  9.000E+00  1.454E+00
  9.500E+00  7.740E-01
  1.000E+01  4.173E-01
  1.050E+01  2.269E-01
  1.100E+01  1.247E-01
  1.150E+01  6.880E-02
  1.200E+01  3.809E-02
  1.250E+01  2.120E-02
  1.300E+01  1.183E-02
  1.350E+01  6.606E-03
  1.400E+01  3.688E-03
  1.450E+01  2.057E-03
  1.500E+01  1.145E-03


charged  pi, charged K,p+pbar for two
fragmentation fcts. KKP and AKK). Each file contains
the results for scale pt/2,pt,2pt. Columns are
pt and E d^3sigma/dp3 in pb/GeV2, averaged over |eta|<1.
charges are summed, that is for pions it's pi+ + pi-
