scale pt/2

  3.000E+00  4.645E+06
  3.500E+00  1.337E+06
  4.000E+00  4.503E+05
  4.500E+00  1.720E+05
  5.000E+00  7.242E+04
  5.500E+00  3.313E+04
  6.000E+00  1.620E+04
  6.500E+00  8.365E+03
  7.000E+00  4.517E+03
  7.500E+00  2.531E+03
  8.000E+00  1.472E+03
  8.500E+00  8.779E+02
  9.000E+00  5.392E+02
  9.500E+00  3.390E+02
  1.000E+01  2.180E+02
  1.050E+01  1.419E+02
  1.100E+01  9.441E+01
  1.150E+01  6.367E+01
  1.200E+01  4.359E+01
  1.250E+01  3.017E+01
  1.300E+01  2.116E+01
  1.350E+01  1.494E+01
  1.400E+01  1.068E+01
  1.450E+01  7.687E+00
  1.500E+01  5.570E+00
  1.550E+01  4.082E+00
  1.600E+01  3.007E+00
  1.650E+01  2.231E+00
  1.700E+01  1.665E+00
  1.750E+01  1.246E+00
  1.800E+01  9.433E-01
  1.850E+01  7.137E-01
  1.900E+01  5.443E-01
  1.950E+01  4.157E-01
  2.000E+01  3.187E-01
  2.050E+01  2.458E-01
  2.100E+01  1.904E-01
  2.150E+01  1.476E-01
  2.200E+01  1.150E-01
  2.250E+01  8.956E-02
  2.300E+01  7.015E-02
  2.350E+01  5.535E-02
  2.400E+01  4.332E-02
  2.450E+01  3.425E-02
  2.500E+01  2.703E-02

scale pt

  2.000E+00  3.076E+07
  2.500E+00  6.410E+06
  3.000E+00  1.706E+06
  3.500E+00  5.514E+05
  4.000E+00  2.034E+05
  4.500E+00  8.277E+04
  5.000E+00  3.717E+04
  5.500E+00  1.782E+04
  6.000E+00  9.000E+03
  6.500E+00  4.787E+03
  7.000E+00  2.644E+03
  7.500E+00  1.516E+03
  8.000E+00  8.976E+02
  8.500E+00  5.437E+02
  9.000E+00  3.365E+02
  9.500E+00  2.143E+02
  1.000E+01  1.385E+02
  1.050E+01  9.095E+01
  1.100E+01  6.072E+01
  1.150E+01  4.109E+01
  1.200E+01  2.819E+01
  1.250E+01  1.960E+01
  1.300E+01  1.374E+01
  1.350E+01  9.728E+00
  1.400E+01  6.965E+00
  1.450E+01  5.014E+00
  1.500E+01  3.640E+00
  1.550E+01  2.658E+00
  1.600E+01  1.957E+00
  1.650E+01  1.450E+00
  1.700E+01  1.081E+00
  1.750E+01  8.098E-01
  1.800E+01  6.088E-01
  1.850E+01  4.617E-01
  1.900E+01  3.503E-01
  1.950E+01  2.672E-01
  2.000E+01  2.047E-01
  2.050E+01  1.573E-01
  2.100E+01  1.213E-01
  2.150E+01  9.372E-02
  2.200E+01  7.262E-02
  2.250E+01  5.650E-02
  2.300E+01  4.414E-02
  2.350E+01  3.455E-02
  2.400E+01  2.706E-02
  2.450E+01  2.131E-02
  2.500E+01  1.676E-02

scale 2*pt

  2.000E+00  1.401E+07
  2.500E+00  3.047E+06
  3.000E+00  8.449E+05
  3.500E+00  2.794E+05
  4.000E+00  1.055E+05
  4.500E+00  4.427E+04
  5.000E+00  2.007E+04
  5.500E+00  9.706E+03
  6.000E+00  4.958E+03
  6.500E+00  2.652E+03
  7.000E+00  1.478E+03
  7.500E+00  8.524E+02
  8.000E+00  5.061E+02
  8.500E+00  3.084E+02
  9.000E+00  1.920E+02
  9.500E+00  1.223E+02
  1.000E+01  7.934E+01
  1.050E+01  5.219E+01
  1.100E+01  3.499E+01
  1.150E+01  2.379E+01
  1.200E+01  1.631E+01
  1.250E+01  1.134E+01
  1.300E+01  7.951E+00
  1.350E+01  5.643E+00
  1.400E+01  4.029E+00
  1.450E+01  2.904E+00
  1.500E+01  2.110E+00
  1.550E+01  1.543E+00
  1.600E+01  1.135E+00
  1.650E+01  8.420E-01
  1.700E+01  6.252E-01
  1.750E+01  4.690E-01
  1.800E+01  3.535E-01
  1.850E+01  2.662E-01
  1.900E+01  2.024E-01
  1.950E+01  1.546E-01
  2.000E+01  1.181E-01
  2.050E+01  9.071E-02
  2.100E+01  6.961E-02
  2.150E+01  5.398E-02
  2.200E+01  4.175E-02
  2.250E+01  3.246E-02
  2.300E+01  2.528E-02
  2.350E+01  1.974E-02
  2.400E+01  1.549E-02
  2.450E+01  1.213E-02
  2.500E+01  9.534E-03


charged  pi, charged K,p+pbar for two
fragmentation fcts. KKP and AKK). Each file contains
the results for scale pt/2,pt,2pt. Columns are
pt and E d^3sigma/dp3 in pb/GeV2, averaged over |eta|<1.
charges are summed, that is for pions it's pi+ + pi-
