scale pt/2

  2.000E+00  2.144E+07
  2.500E+00  4.473E+06
  3.000E+00  1.191E+06
  3.500E+00  3.516E+05
  4.000E+00  1.258E+05
  4.500E+00  5.142E+04
  5.000E+00  2.320E+04
  5.500E+00  1.134E+04
  6.000E+00  5.971E+03
  6.500E+00  3.262E+03
  7.000E+00  1.871E+03
  7.500E+00  1.109E+03
  8.000E+00  6.792E+02
  8.500E+00  4.275E+02
  9.000E+00  2.750E+02
  9.500E+00  1.808E+02
  1.000E+01  1.216E+02
  1.050E+01  8.308E+01
  1.100E+01  5.769E+01
  1.150E+01  4.050E+01
  1.200E+01  2.885E+01
  1.250E+01  2.073E+01
  1.300E+01  1.507E+01
  1.350E+01  1.104E+01
  1.400E+01  8.151E+00
  1.450E+01  6.084E+00
  1.500E+01  4.565E+00
  1.550E+01  3.453E+00
  1.600E+01  2.626E+00
  1.650E+01  2.004E+00
  1.700E+01  1.547E+00
  1.750E+01  1.194E+00
  1.800E+01  9.294E-01
  1.850E+01  7.248E-01
  1.900E+01  5.668E-01
  1.950E+01  4.466E-01
  2.000E+01  3.532E-01
  2.050E+01  2.792E-01
  2.100E+01  2.223E-01
  2.150E+01  1.771E-01
  2.200E+01  1.416E-01
  2.250E+01  1.142E-01
  2.300E+01  9.134E-02
  2.350E+01  7.384E-02
  2.400E+01  5.960E-02
  2.450E+01  4.820E-02
  2.500E+01  3.920E-02

scale pt

  2.000E+00  9.491E+06
  2.500E+00  2.048E+06
  3.000E+00  5.887E+05
  3.500E+00  2.006E+05
  4.000E+00  7.827E+04
  4.500E+00  3.388E+04
  5.000E+00  1.603E+04
  5.500E+00  8.098E+03
  6.000E+00  4.326E+03
  6.500E+00  2.409E+03
  7.000E+00  1.393E+03
  7.500E+00  8.373E+02
  8.000E+00  5.161E+02
  8.500E+00  3.262E+02
  9.000E+00  2.109E+02
  9.500E+00  1.389E+02
  1.000E+01  9.331E+01
  1.050E+01  6.374E+01
  1.100E+01  4.409E+01
  1.150E+01  3.092E+01
  1.200E+01  2.198E+01
  1.250E+01  1.573E+01
  1.300E+01  1.140E+01
  1.350E+01  8.312E+00
  1.400E+01  6.131E+00
  1.450E+01  4.556E+00
  1.500E+01  3.410E+00
  1.550E+01  2.568E+00
  1.600E+01  1.944E+00
  1.650E+01  1.486E+00
  1.700E+01  1.139E+00
  1.750E+01  8.770E-01
  1.800E+01  6.795E-01
  1.850E+01  5.278E-01
  1.900E+01  4.121E-01
  1.950E+01  3.230E-01
  2.000E+01  2.539E-01
  2.050E+01  2.002E-01
  2.100E+01  1.592E-01
  2.150E+01  1.264E-01
  2.200E+01  1.007E-01
  2.250E+01  8.068E-02
  2.300E+01  6.462E-02
  2.350E+01  5.194E-02
  2.400E+01  4.173E-02
  2.450E+01  3.365E-02
  2.500E+01  2.734E-02

scale 2*pt

  2.000E+00  5.158E+06
  2.500E+00  1.183E+06
  3.000E+00  3.489E+05
  3.500E+00  1.225E+05
  4.000E+00  4.898E+04
  4.500E+00  2.161E+04
  5.000E+00  1.031E+04
  5.500E+00  5.246E+03
  6.000E+00  2.805E+03
  6.500E+00  1.573E+03
  7.000E+00  9.146E+02
  7.500E+00  5.483E+02
  8.000E+00  3.392E+02
  8.500E+00  2.153E+02
  9.000E+00  1.392E+02
  9.500E+00  9.185E+01
  1.000E+01  6.162E+01
  1.050E+01  4.206E+01
  1.100E+01  2.905E+01
  1.150E+01  2.036E+01
  1.200E+01  1.445E+01
  1.250E+01  1.035E+01
  1.300E+01  7.480E+00
  1.350E+01  5.472E+00
  1.400E+01  4.018E+00
  1.450E+01  2.988E+00
  1.500E+01  2.238E+00
  1.550E+01  1.678E+00
  1.600E+01  1.272E+00
  1.650E+01  9.705E-01
  1.700E+01  7.415E-01
  1.750E+01  5.713E-01
  1.800E+01  4.400E-01
  1.850E+01  3.430E-01
  1.900E+01  2.672E-01
  1.950E+01  2.091E-01
  2.000E+01  1.642E-01
  2.050E+01  1.295E-01
  2.100E+01  1.027E-01
  2.150E+01  8.135E-02
  2.200E+01  6.476E-02
  2.250E+01  5.161E-02
  2.300E+01  4.139E-02
  2.350E+01  3.319E-02
  2.400E+01  2.668E-02
  2.450E+01  2.151E-02
  2.500E+01  1.736E-02


charged  pi, charged K,p+pbar for two
fragmentation fcts. KKP and AKK). Each file contains
the results for scale pt/2,pt,2pt. Columns are
pt and E d^3sigma/dp3 in pb/GeV2, averaged over |eta|<1.
charges are summed, that is for pions it's pi+ + pi-
