scale pt/2

  3.000E+00  5.686E+05
  3.500E+00  1.268E+05
  4.000E+00  3.430E+04
  4.500E+00  1.070E+04
  5.000E+00  3.723E+03
  5.500E+00  1.408E+03
  6.000E+00  5.716E+02
  6.500E+00  2.450E+02
  7.000E+00  1.096E+02
  7.500E+00  5.096E+01
  8.000E+00  2.443E+01
  8.500E+00  1.198E+01
  9.000E+00  6.006E+00
  9.500E+00  3.082E+00
  1.000E+01  1.602E+00
  1.050E+01  8.437E-01
  1.100E+01  4.492E-01
  1.150E+01  2.409E-01
  1.200E+01  1.299E-01
  1.250E+01  7.032E-02
  1.300E+01  3.824E-02
  1.350E+01  2.085E-02
  1.400E+01  1.137E-02
  1.450E+01  6.210E-03
  1.500E+01  3.377E-03

scale pt

  2.000E+00  5.023E+06
  2.500E+00  7.494E+05
  3.000E+00  1.526E+05
  3.500E+00  3.855E+04
  4.000E+00  1.135E+04
  4.500E+00  3.751E+03
  5.000E+00  1.367E+03
  5.500E+00  5.336E+02
  6.000E+00  2.210E+02
  6.500E+00  9.598E+01
  7.000E+00  4.333E+01
  7.500E+00  2.017E+01
  8.000E+00  9.646E+00
  8.500E+00  4.719E+00
  9.000E+00  2.355E+00
  9.500E+00  1.194E+00
  1.000E+01  6.134E-01
  1.050E+01  3.200E-01
  1.100E+01  1.674E-01
  1.150E+01  8.864E-02
  1.200E+01  4.714E-02
  1.250E+01  2.519E-02
  1.300E+01  1.351E-02
  1.350E+01  7.239E-03
  1.400E+01  3.894E-03
  1.450E+01  2.092E-03
  1.500E+01  1.124E-03

scale 2*pt

  2.000E+00  1.616E+06
  2.500E+00  2.615E+05
  3.000E+00  5.642E+04
  3.500E+00  1.479E+04
  4.000E+00  4.477E+03
  4.500E+00  1.509E+03
  5.000E+00  5.530E+02
  5.500E+00  2.168E+02
  6.000E+00  8.998E+01
  6.500E+00  3.900E+01
  7.000E+00  1.750E+01
  7.500E+00  8.129E+00
  8.000E+00  3.866E+00
  8.500E+00  1.886E+00
  9.000E+00  9.342E-01
  9.500E+00  4.712E-01
  1.000E+01  2.407E-01
  1.050E+01  1.241E-01
  1.100E+01  6.480E-02
  1.150E+01  3.397E-02
  1.200E+01  1.796E-02
  1.250E+01  9.520E-03
  1.300E+01  5.067E-03
  1.350E+01  2.700E-03
  1.400E+01  1.443E-03
  1.450E+01  7.692E-04
  1.500E+01  4.093E-04



charged  pi, charged K,p+pbar for two
fragmentation fcts. KKP and AKK). Each file contains
the results for scale pt/2,pt,2pt. Columns are
pt and E d^3sigma/dp3 in pb/GeV2, averaged over |eta|<1.
charges are summed, that is for pions it's pi+ + pi-
