scale  = pt/2

  2.000E+00  1.232E+06
  2.500E+00  1.874E+05
  3.000E+00  3.562E+04
  3.500E+00  7.170E+03
  4.000E+00  1.848E+03
  4.500E+00  5.601E+02
  5.000E+00  1.919E+02
  5.500E+00  7.148E+01
  6.000E+00  2.851E+01
  6.500E+00  1.193E+01
  7.000E+00  5.194E+00
  7.500E+00  2.331E+00
  8.000E+00  1.073E+00
  8.500E+00  5.046E-01
  9.000E+00  2.404E-01
  9.500E+00  1.169E-01
  1.000E+01  5.746E-02
  1.050E+01  2.846E-02
  1.100E+01  1.417E-02
  1.150E+01  7.088E-03
  1.200E+01  3.559E-03
  1.250E+01  1.790E-03
  1.300E+01  9.002E-04
  1.350E+01  4.531E-04
  1.400E+01  2.269E-04
  1.450E+01  1.131E-04
  1.500E+01  5.629E-05

scale pt

  2.000E+00  4.766E+05
  2.500E+00  6.407E+04
  3.000E+00  1.253E+04
  3.500E+00  3.086E+03
  4.000E+00  8.943E+02
  4.500E+00  2.904E+02
  5.000E+00  1.038E+02
  5.500E+00  3.948E+01
  6.000E+00  1.582E+01
  6.500E+00  6.602E+00
  7.000E+00  2.851E+00
  7.500E+00  1.265E+00
  8.000E+00  5.741E-01
  8.500E+00  2.666E-01
  9.000E+00  1.250E-01
  9.500E+00  5.957E-02
  1.000E+01  2.866E-02
  1.050E+01  1.391E-02
  1.100E+01  6.791E-03
  1.150E+01  3.325E-03
  1.200E+01  1.638E-03
  1.250E+01  8.077E-04
  1.300E+01  3.990E-04
  1.350E+01  1.964E-04
  1.400E+01  9.669E-05
  1.450E+01  4.739E-05
  1.500E+01  2.311E-05

scale 2*pt

  2.000E+00  1.635E+05
  2.500E+00  2.651E+04
  3.000E+00  5.751E+03
  3.500E+00  1.502E+03
  4.000E+00  4.473E+02
  4.500E+00  1.476E+02
  5.000E+00  5.248E+01
  5.500E+00  1.990E+01
  6.000E+00  7.899E+00
  6.500E+00  3.270E+00
  7.000E+00  1.397E+00
  7.500E+00  6.131E-01
  8.000E+00  2.759E-01
  8.500E+00  1.261E-01
  9.000E+00  5.869E-02
  9.500E+00  2.761E-02
  1.000E+01  1.314E-02
  1.050E+01  6.301E-03
  1.100E+01  3.049E-03
  1.150E+01  1.478E-03
  1.200E+01  7.190E-04
  1.250E+01  3.506E-04
  1.300E+01  1.712E-04
  1.350E+01  8.351E-05
  1.400E+01  4.062E-05
  1.450E+01  1.971E-05
  1.500E+01  9.508E-06


charged  pi, charged K,p+pbar for two
fragmentation fcts. KKP and AKK). Each file contains
the results for scale pt/2,pt,2pt. Columns are
pt and E d^3sigma/dp3 in pb/GeV2, averaged over |eta|<1.
charges are summed, that is for pions it's pi+ + pi-
