scale pt/2

  3.000E+00  5.999E+06
  3.500E+00  1.573E+06
  4.000E+00  5.004E+05
  4.500E+00  1.859E+05
  5.000E+00  7.756E+04
  5.500E+00  3.540E+04
  6.000E+00  1.743E+04
  6.500E+00  9.108E+03
  7.000E+00  5.018E+03
  7.500E+00  2.867E+03
  8.000E+00  1.706E+03
  8.500E+00  1.041E+03
  9.000E+00  6.533E+02
  9.500E+00  4.219E+02
  1.000E+01  2.773E+02
  1.050E+01  1.851E+02
  1.100E+01  1.262E+02
  1.150E+01  8.729E+01
  1.200E+01  6.128E+01
  1.250E+01  4.344E+01
  1.300E+01  3.115E+01
  1.350E+01  2.255E+01
  1.400E+01  1.652E+01
  1.450E+01  1.216E+01
  1.500E+01  9.019E+00
  1.550E+01  6.758E+00
  1.600E+01  5.092E+00
  1.650E+01  3.864E+00
  1.700E+01  2.944E+00
  1.750E+01  2.251E+00
  1.800E+01  1.741E+00
  1.850E+01  1.346E+00
  1.900E+01  1.048E+00
  1.950E+01  8.183E-01
  2.000E+01  6.397E-01
  2.050E+01  5.042E-01
  2.100E+01  3.988E-01
  2.150E+01  3.150E-01
  2.200E+01  2.507E-01
  2.250E+01  1.995E-01
  2.300E+01  1.593E-01
  2.350E+01  1.283E-01
  2.400E+01  1.024E-01
  2.450E+01  8.266E-02
  2.500E+01  6.656E-02

scale pt

  2.000E+00  5.182E+07
  2.500E+00  9.907E+06
  3.000E+00  2.510E+06
  3.500E+00  7.850E+05
  4.000E+00  2.842E+05
  4.500E+00  1.145E+05
  5.000E+00  5.121E+04
  5.500E+00  2.454E+04
  6.000E+00  1.245E+04
  6.500E+00  6.666E+03
  7.000E+00  3.714E+03
  7.500E+00  2.153E+03
  8.000E+00  1.290E+03
  8.500E+00  7.918E+02
  9.000E+00  4.976E+02
  9.500E+00  3.213E+02
  1.000E+01  2.112E+02
  1.050E+01  1.411E+02
  1.100E+01  9.586E+01
  1.150E+01  6.599E+01
  1.200E+01  4.612E+01
  1.250E+01  3.265E+01
  1.300E+01  2.331E+01
  1.350E+01  1.684E+01
  1.400E+01  1.228E+01
  1.450E+01  9.010E+00
  1.500E+01  6.675E+00
  1.550E+01  4.966E+00
  1.600E+01  3.729E+00
  1.650E+01  2.819E+00
  1.700E+01  2.144E+00
  1.750E+01  1.638E+00
  1.800E+01  1.256E+00
  1.850E+01  9.722E-01
  1.900E+01  7.526E-01
  1.950E+01  5.855E-01
  2.000E+01  4.580E-01
  2.050E+01  3.587E-01
  2.100E+01  2.823E-01
  2.150E+01  2.227E-01
  2.200E+01  1.761E-01
  2.250E+01  1.397E-01
  2.300E+01  1.116E-01
  2.350E+01  8.904E-02
  2.400E+01  7.118E-02
  2.450E+01  5.723E-02
  2.500E+01  4.596E-02

scale 2*pt

  2.000E+00  2.318E+07
  2.500E+00  4.788E+06
  3.000E+00  1.293E+06
  3.500E+00  4.200E+05
  4.000E+00  1.570E+05
  4.500E+00  6.565E+04
  5.000E+00  2.978E+04
  5.500E+00  1.446E+04
  6.000E+00  7.431E+03
  6.500E+00  4.013E+03
  7.000E+00  2.260E+03
  7.500E+00  1.319E+03
  8.000E+00  7.941E+02
  8.500E+00  4.911E+02
  9.000E+00  3.106E+02
  9.500E+00  2.012E+02
  1.000E+01  1.327E+02
  1.050E+01  8.885E+01
  1.100E+01  6.064E+01
  1.150E+01  4.200E+01
  1.200E+01  2.933E+01
  1.250E+01  2.077E+01
  1.300E+01  1.484E+01
  1.350E+01  1.074E+01
  1.400E+01  7.821E+00
  1.450E+01  5.749E+00
  1.500E+01  4.262E+00
  1.550E+01  3.179E+00
  1.600E+01  2.385E+00
  1.650E+01  1.805E+00
  1.700E+01  1.367E+00
  1.750E+01  1.047E+00
  1.800E+01  8.052E-01
  1.850E+01  6.187E-01
  1.900E+01  4.801E-01
  1.950E+01  3.742E-01
  2.000E+01  2.915E-01
  2.050E+01  2.288E-01
  2.100E+01  1.791E-01
  2.150E+01  1.418E-01
  2.200E+01  1.120E-01
  2.250E+01  8.883E-02
  2.300E+01  7.062E-02
  2.350E+01  5.629E-02
  2.400E+01  4.511E-02
  2.450E+01  3.605E-02
  2.500E+01  2.893E-02


charged  pi, charged K,p+pbar for two
fragmentation fcts. KKP and AKK). Each file contains
the results for scale pt/2,pt,2pt. Columns are
pt and E d^3sigma/dp3 in pb/GeV2, averaged over |eta|<1.
charges are summed, that is for pions it's pi+ + pi-
