scale pt/2

  2.000E+00  1.176E+08
  2.500E+00  2.361E+07
  3.000E+00  6.106E+06
  3.500E+00  1.737E+06
  4.000E+00  5.928E+05
  4.500E+00  2.307E+05
  5.000E+00  9.936E+04
  5.500E+00  4.645E+04
  6.000E+00  2.334E+04
  6.500E+00  1.230E+04
  7.000E+00  6.831E+03
  7.500E+00  3.926E+03
  8.000E+00  2.345E+03
  8.500E+00  1.439E+03
  9.000E+00  9.055E+02
  9.500E+00  5.822E+02
  1.000E+01  3.843E+02
  1.050E+01  2.582E+02
  1.100E+01  1.763E+02
  1.150E+01  1.219E+02
  1.200E+01  8.563E+01
  1.250E+01  6.070E+01
  1.300E+01  4.362E+01
  1.350E+01  3.159E+01
  1.400E+01  2.307E+01
  1.450E+01  1.705E+01
  1.500E+01  1.268E+01
  1.550E+01  9.501E+00
  1.600E+01  7.163E+00
  1.650E+01  5.423E+00
  1.700E+01  4.155E+00
  1.750E+01  3.182E+00
  1.800E+01  2.459E+00
  1.850E+01  1.905E+00
  1.900E+01  1.479E+00
  1.950E+01  1.159E+00
  2.000E+01  9.109E-01
  2.050E+01  7.182E-01
  2.100E+01  5.670E-01
  2.150E+01  4.494E-01
  2.200E+01  3.577E-01
  2.250E+01  2.852E-01
  2.300E+01  2.278E-01
  2.350E+01  1.829E-01
  2.400E+01  1.468E-01
  2.450E+01  1.184E-01
  2.500E+01  9.562E-02

scale pt

  2.000E+00  5.102E+07
  2.500E+00  1.031E+07
  3.000E+00  2.737E+06
  3.500E+00  8.779E+05
  4.000E+00  3.263E+05
  4.500E+00  1.336E+05
  5.000E+00  6.075E+04
  5.500E+00  2.942E+04
  6.000E+00  1.514E+04
  6.500E+00  8.202E+03
  7.000E+00  4.623E+03
  7.500E+00  2.689E+03
  8.000E+00  1.624E+03
  8.500E+00  1.006E+03
  9.000E+00  6.368E+02
  9.500E+00  4.134E+02
  1.000E+01  2.726E+02
  1.050E+01  1.835E+02
  1.100E+01  1.256E+02
  1.150E+01  8.677E+01
  1.200E+01  6.069E+01
  1.250E+01  4.316E+01
  1.300E+01  3.096E+01
  1.350E+01  2.239E+01
  1.400E+01  1.636E+01
  1.450E+01  1.204E+01
  1.500E+01  8.946E+00
  1.550E+01  6.700E+00
  1.600E+01  5.041E+00
  1.650E+01  3.823E+00
  1.700E+01  2.918E+00
  1.750E+01  2.233E+00
  1.800E+01  1.720E+00
  1.850E+01  1.327E+00
  1.900E+01  1.031E+00
  1.950E+01  8.053E-01
  2.000E+01  6.311E-01
  2.050E+01  4.954E-01
  2.100E+01  3.913E-01
  2.150E+01  3.097E-01
  2.200E+01  2.455E-01
  2.250E+01  1.955E-01
  2.300E+01  1.560E-01
  2.350E+01  1.250E-01
  2.400E+01  1.001E-01
  2.450E+01  8.058E-02
  2.500E+01  6.484E-02

scale 2*pt

  2.000E+00  2.409E+07
  2.500E+00  5.123E+06
  3.000E+00  1.424E+06
  3.500E+00  4.730E+05
  4.000E+00  1.798E+05
  4.500E+00  7.595E+04
  5.000E+00  3.487E+04
  5.500E+00  1.715E+04
  6.000E+00  8.914E+03
  6.500E+00  4.854E+03
  7.000E+00  2.757E+03
  7.500E+00  1.622E+03
  8.000E+00  9.830E+02
  8.500E+00  6.118E+02
  9.000E+00  3.907E+02
  9.500E+00  2.542E+02
  1.000E+01  1.684E+02
  1.050E+01  1.133E+02
  1.100E+01  7.757E+01
  1.150E+01  5.404E+01
  1.200E+01  3.798E+01
  1.250E+01  2.701E+01
  1.300E+01  1.938E+01
  1.350E+01  1.405E+01
  1.400E+01  1.028E+01
  1.450E+01  7.595E+00
  1.500E+01  5.649E+00
  1.550E+01  4.226E+00
  1.600E+01  3.181E+00
  1.650E+01  2.414E+00
  1.700E+01  1.840E+00
  1.750E+01  1.408E+00
  1.800E+01  1.086E+00
  1.850E+01  8.422E-01
  1.900E+01  6.527E-01
  1.950E+01  5.094E-01
  2.000E+01  3.984E-01
  2.050E+01  3.131E-01
  2.100E+01  2.471E-01
  2.150E+01  1.954E-01
  2.200E+01  1.551E-01
  2.250E+01  1.233E-01
  2.300E+01  9.838E-02
  2.350E+01  7.854E-02
  2.400E+01  6.308E-02
  2.450E+01  5.060E-02
  2.500E+01  4.079E-02


charged  pi, charged K,p+pbar for two
fragmentation fcts. KKP and AKK). Each file contains
the results for scale pt/2,pt,2pt. Columns are
pt and E d^3sigma/dp3 in pb/GeV2, averaged over |eta|<1.
charges are summed, that is for pions it's pi+ + pi-
