scale pt/2

  3.000E+00  4.238E+06
  3.500E+00  1.258E+06
  4.000E+00  4.321E+05
  4.500E+00  1.675E+05
  5.000E+00  7.119E+04
  5.500E+00  3.279E+04
  6.000E+00  1.609E+04
  6.500E+00  8.328E+03
  7.000E+00  4.505E+03
  7.500E+00  2.533E+03
  8.000E+00  1.472E+03
  8.500E+00  8.783E+02
  9.000E+00  5.390E+02
  9.500E+00  3.392E+02
  1.000E+01  2.183E+02
  1.050E+01  1.418E+02
  1.100E+01  9.447E+01
  1.150E+01  6.376E+01
  1.200E+01  4.360E+01
  1.250E+01  3.016E+01
  1.300E+01  2.117E+01
  1.350E+01  1.493E+01
  1.400E+01  1.069E+01
  1.450E+01  7.700E+00
  1.500E+01  5.591E+00
  1.550E+01  4.102E+00
  1.600E+01  3.026E+00
  1.650E+01  2.250E+00
  1.700E+01  1.683E+00
  1.750E+01  1.261E+00
  1.800E+01  9.579E-01
  1.850E+01  7.269E-01
  1.900E+01  5.566E-01
  1.950E+01  4.265E-01
  2.000E+01  3.283E-01
  2.050E+01  2.543E-01
  2.100E+01  1.979E-01
  2.150E+01  1.540E-01
  2.200E+01  1.207E-01
  2.250E+01  9.458E-02
  2.300E+01  7.446E-02
  2.350E+01  5.912E-02
  2.400E+01  4.655E-02
  2.450E+01  3.703E-02
  2.500E+01  2.945E-02

scale pt

  2.000E+00  2.651E+07
  2.500E+00  5.659E+06
  3.000E+00  1.524E+06
  3.500E+00  4.954E+05
  4.000E+00  1.838E+05
  4.500E+00  7.501E+04
  5.000E+00  3.374E+04
  5.500E+00  1.619E+04
  6.000E+00  8.177E+03
  6.500E+00  4.347E+03
  7.000E+00  2.401E+03
  7.500E+00  1.375E+03
  8.000E+00  8.133E+02
  8.500E+00  4.921E+02
  9.000E+00  3.044E+02
  9.500E+00  1.936E+02
  1.000E+01  1.250E+02
  1.050E+01  8.203E+01
  1.100E+01  5.478E+01
  1.150E+01  3.702E+01
  1.200E+01  2.540E+01
  1.250E+01  1.765E+01
  1.300E+01  1.239E+01
  1.350E+01  8.776E+00
  1.400E+01  6.290E+00
  1.450E+01  4.532E+00
  1.500E+01  3.296E+00
  1.550E+01  2.411E+00
  1.600E+01  1.779E+00
  1.650E+01  1.322E+00
  1.700E+01  9.882E-01
  1.750E+01  7.426E-01
  1.800E+01  5.601E-01
  1.850E+01  4.264E-01
  1.900E+01  3.249E-01
  1.950E+01  2.489E-01
  2.000E+01  1.916E-01
  2.050E+01  1.479E-01
  2.100E+01  1.146E-01
  2.150E+01  8.910E-02
  2.200E+01  6.950E-02
  2.250E+01  5.438E-02
  2.300E+01  4.282E-02
  2.350E+01  3.372E-02
  2.400E+01  2.660E-02
  2.450E+01  2.110E-02
  2.500E+01  1.673E-02

scale 2*pt

  2.000E+00  1.199E+07
  2.500E+00  2.617E+06
  3.000E+00  7.304E+05
  3.500E+00  2.421E+05
  4.000E+00  9.137E+04
  4.500E+00  3.834E+04
  5.000E+00  1.736E+04
  5.500E+00  8.382E+03
  6.000E+00  4.269E+03
  6.500E+00  2.279E+03
  7.000E+00  1.267E+03
  7.500E+00  7.291E+02
  8.000E+00  4.319E+02
  8.500E+00  2.626E+02
  9.000E+00  1.632E+02
  9.500E+00  1.037E+02
  1.000E+01  6.715E+01
  1.050E+01  4.412E+01
  1.100E+01  2.953E+01
  1.150E+01  2.007E+01
  1.200E+01  1.375E+01
  1.250E+01  9.553E+00
  1.300E+01  6.703E+00
  1.350E+01  4.758E+00
  1.400E+01  3.399E+00
  1.450E+01  2.452E+00
  1.500E+01  1.785E+00
  1.550E+01  1.308E+00
  1.600E+01  9.637E-01
  1.650E+01  7.169E-01
  1.700E+01  5.338E-01
  1.750E+01  4.017E-01
  1.800E+01  3.038E-01
  1.850E+01  2.298E-01
  1.900E+01  1.754E-01
  1.950E+01  1.346E-01
  2.000E+01  1.033E-01
  2.050E+01  7.981E-02
  2.100E+01  6.158E-02
  2.150E+01  4.805E-02
  2.200E+01  3.742E-02
  2.250E+01  2.928E-02
  2.300E+01  2.296E-02
  2.350E+01  1.806E-02
  2.400E+01  1.429E-02
  2.450E+01  1.128E-02
  2.500E+01  8.936E-03


charged  pi, charged K,p+pbar for two
fragmentation fcts. KKP and AKK). Each file contains
the results for scale pt/2,pt,2pt. Columns are
pt and E d^3sigma/dp3 in pb/GeV2, averaged over |eta|<1.
charges are summed, that is for pions it's pi+ + pi-
