scale pt/2

  2.000E+00  1.039E+07
  2.500E+00  1.946E+06
  3.000E+00  4.554E+05
  3.500E+00  1.119E+05
  4.000E+00  3.461E+04
  4.500E+00  1.251E+04
  5.000E+00  5.117E+03
  5.500E+00  2.294E+03
  6.000E+00  1.131E+03
  6.500E+00  5.807E+02
  7.000E+00  3.152E+02
  7.500E+00  1.774E+02
  8.000E+00  1.040E+02
  8.500E+00  6.273E+01
  9.000E+00  3.875E+01
  9.500E+00  2.451E+01
  1.000E+01  1.586E+01
  1.050E+01  1.046E+01
  1.100E+01  7.019E+00
  1.150E+01  4.774E+00
  1.200E+01  3.284E+00
  1.250E+01  2.280E+00
  1.300E+01  1.607E+00
  1.350E+01  1.140E+00
  1.400E+01  8.125E-01
  1.450E+01  5.878E-01
  1.500E+01  4.274E-01
  1.550E+01  3.131E-01
  1.600E+01  2.305E-01
  1.650E+01  1.704E-01
  1.700E+01  1.274E-01
  1.750E+01  9.522E-02
  1.800E+01  7.166E-02
  1.850E+01  5.414E-02
  1.900E+01  4.096E-02
  1.950E+01  3.123E-02
  2.000E+01  2.393E-02
  2.050E+01  1.831E-02
  2.100E+01  1.410E-02
  2.150E+01  1.085E-02
  2.200E+01  8.399E-03
  2.250E+01  6.554E-03
  2.300E+01  5.068E-03
  2.350E+01  3.963E-03
  2.400E+01  3.090E-03
  2.450E+01  2.415E-03
  2.500E+01  1.898E-03

scale pt

  2.000E+00  3.467E+06
  2.500E+00  6.275E+05
  3.000E+00  1.608E+05
  3.500E+00  5.077E+04
  4.000E+00  1.863E+04
  4.500E+00  7.667E+03
  5.000E+00  3.465E+03
  5.500E+00  1.678E+03
  6.000E+00  8.596E+02
  6.500E+00  4.600E+02
  7.000E+00  2.554E+02
  7.500E+00  1.476E+02
  8.000E+00  8.750E+01
  8.500E+00  5.318E+01
  9.000E+00  3.306E+01
  9.500E+00  2.097E+01
  1.000E+01  1.355E+01
  1.050E+01  8.915E+00
  1.100E+01  5.936E+00
  1.150E+01  4.006E+00
  1.200E+01  2.739E+00
  1.250E+01  1.891E+00
  1.300E+01  1.318E+00
  1.350E+01  9.257E-01
  1.400E+01  6.573E-01
  1.450E+01  4.710E-01
  1.500E+01  3.396E-01
  1.550E+01  2.464E-01
  1.600E+01  1.797E-01
  1.650E+01  1.324E-01
  1.700E+01  9.765E-02
  1.750E+01  7.251E-02
  1.800E+01  5.411E-02
  1.850E+01  4.054E-02
  1.900E+01  3.050E-02
  1.950E+01  2.302E-02
  2.000E+01  1.743E-02
  2.050E+01  1.327E-02
  2.100E+01  1.014E-02
  2.150E+01  7.771E-03
  2.200E+01  5.963E-03
  2.250E+01  4.603E-03
  2.300E+01  3.553E-03
  2.350E+01  2.749E-03
  2.400E+01  2.129E-03
  2.450E+01  1.652E-03
  2.500E+01  1.293E-03

scale 2*pt

  2.000E+00  1.479E+06
  2.500E+00  3.249E+05
  3.000E+00  9.239E+04
  3.500E+00  3.123E+04
  4.000E+00  1.199E+04
  4.500E+00  5.068E+03
  5.000E+00  2.311E+03
  5.500E+00  1.123E+03
  6.000E+00  5.733E+02
  6.500E+00  3.069E+02
  7.000E+00  1.703E+02
  7.500E+00  9.746E+01
  8.000E+00  5.764E+01
  8.500E+00  3.496E+01
  9.000E+00  2.160E+01
  9.500E+00  1.364E+01
  1.000E+01  8.756E+00
  1.050E+01  5.729E+00
  1.100E+01  3.792E+00
  1.150E+01  2.549E+00
  1.200E+01  1.733E+00
  1.250E+01  1.191E+00
  1.300E+01  8.265E-01
  1.350E+01  5.806E-01
  1.400E+01  4.095E-01
  1.450E+01  2.926E-01
  1.500E+01  2.105E-01
  1.550E+01  1.517E-01
  1.600E+01  1.106E-01
  1.650E+01  8.118E-02
  1.700E+01  5.970E-02
  1.750E+01  4.421E-02
  1.800E+01  3.277E-02
  1.850E+01  2.457E-02
  1.900E+01  1.841E-02
  1.950E+01  1.387E-02
  2.000E+01  1.049E-02
  2.050E+01  7.957E-03
  2.100E+01  6.076E-03
  2.150E+01  4.631E-03
  2.200E+01  3.547E-03
  2.250E+01  2.724E-03
  2.300E+01  2.102E-03
  2.350E+01  1.622E-03
  2.400E+01  1.256E-03
  2.450E+01  9.732E-04
  2.500E+01  7.569E-04


charged  pi, charged K,p+pbar for two
fragmentation fcts. KKP and AKK). Each file contains
the results for scale pt/2,pt,2pt. Columns are
pt and E d^3sigma/dp3 in pb/GeV2, averaged over |eta|<1.
charges are summed, that is for pions it's pi+ + pi-
