emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 0.0723096	 0.0129273	 0.00651853	 0.0111635	 0.00889964	 0.0076849	 
1.75 0.05	 0.0122888	 0.00222191	 0.00109873	 0.00193123	 0.00151436	 0.00134016	 
2.25 0.05	 0.00261155	 0.000482043	 0.0002407	 0.000417647	 0.000322225	 0.000292059	 
2.75 0.05	 0.000730267	 0.000137741	 6.96922e-05	 0.000118809	 9.0216e-05	 8.36967e-05	 
3.25 0.05	 0.000233385	 4.49155e-05	 2.29386e-05	 3.86163e-05	 2.8868e-05	 2.73968e-05	 
3.75 0.05	 6.74315e-05	 1.33201e-05	 6.98121e-06	 1.1344e-05	 8.35113e-06	 8.10302e-06	 
4.25 0.05	 2.90989e-05	 5.91195e-06	 3.1924e-06	 4.97591e-06	 3.60826e-06	 3.57755e-06	 
4.75 0.05	 1.30036e-05	 2.73274e-06	 1.53687e-06	 2.25962e-06	 1.61445e-06	 1.63484e-06	 
5.25 0.05	 4.58174e-06	 1.11642e-06	 7.69519e-07	 8.08853e-07	 5.69545e-07	 5.88753e-07	 
5.75 0.05	 2.36452e-06	 5.66389e-07	 3.75553e-07	 4.23976e-07	 2.94291e-07	 3.10409e-07	 
6.25 0.05	 1.73691e-06	 4.2796e-07	 2.88331e-07	 3.16251e-07	 2.16445e-07	 2.32842e-07	 
6.75 0.05	 5.66745e-07	 1.51258e-07	 1.09107e-07	 1.04761e-07	 7.07123e-08	 7.75496e-08	 
7.25 0.05	 4.89669e-07	 1.32646e-07	 9.56813e-08	 9.18694e-08	 6.11709e-08	 6.83632e-08	 
7.75 0.05	 1.34445e-07	 7.59737e-08	 7.15793e-08	 2.54638e-08	 1.67384e-08	 1.92256e-08	 
8.25 0.05	 2.39596e-07	 1.05707e-07	 9.53797e-08	 4.55711e-08	 2.95901e-08	 3.52206e-08	 
