0	0	0.0	0.0	0.0
0	1	0.0	0.0	0.0
0	2	0.0	0.0	0.0
1	0	0.0	0.0	0.0
1	1	0.0	0.0	0.0
1	2	0.0	0.0	0.0
0	0	0	2.3	6.9	59.1
0	0	1	2.3	6.9	74.0
0	0	2	2.3	64.4	59.1
0	1	0	2.3	6.9	41.7
0	1	1	2.3	6.9	58.0
0	1	2	2.3	64.4	41.7
0	2	0	2.3	6.9	24.1
0	2	1	2.3	6.9	39.0
0	2	2	2.3	64.4	24.1
0	3	0	2.3	6.9	6.7
0	3	1	2.3	6.9	21.6
0	3	2	2.3	64.4	6.7
1	0	0	2.3	6.9	59.1
1	0	1	2.3	6.9	74.0
1	0	2	2.3	64.4	59.1
1	1	0	2.3	6.9	41.7
1	1	1	2.3	6.9	58.0
1	1	2	2.3	64.4	41.7
1	2	0	2.3	6.9	24.1
1	2	1	2.3	6.9	39.0
1	2	2	2.3	64.4	24.1
1	3	0	2.3	6.9	6.7
1	3	1	2.3	6.9	21.6
1	3	2	2.3	64.4	6.7
