  100000000      1.1             # run and version numbers
 
   Arm   Gap Panel  xTarg1  yTarg1  zTarg1  xTarg2  yTarg2  zTarg2 dxT1Fid dyT1Fid  dxFidC  dyFidC    dzH0    dzH1    dzV0    dzV1
 ----- ----- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------
 0     0     0      175.68  528.50 -695.31  604.19  528.60 -695.72    0.00    0.00  196.79 -272.39   -0.50   -1.50    0.50    1.50
 0     0     1      -61.19  528.68 -704.17   59.46  528.68 -704.30    0.00    0.00   55.33 -221.33    0.50    1.50   -0.50   -1.50
 0     0     2     -176.60  528.65 -696.17 -605.20  528.63 -695.75    0.00    0.00 -196.79 -272.39    0.50    1.50   -0.50   -1.50
 0     0     3     -176.78  528.13 -704.21 -605.31  528.18 -704.47   17.40 -495.86 -214.20 -269.33    0.50    1.50   -0.50   -1.50
 0     0     4      -61.06  528.19 -695.74   59.61  528.11 -696.25  -26.67 -615.56   82.00 -209.49    0.50    1.50   -0.50   -1.50
 0     0     5      175.40  528.04 -703.92  603.92  528.09 -703.92  -17.40 -495.86  214.20 -269.33   -0.50   -1.50    0.50    1.50
 0     1     0      175.76  528.58 -734.84  604.31  528.41 -735.08    0.00    0.00  196.79 -272.39   -0.50   -1.50    0.50    1.50
 0     1     1      -61.31  528.66 -744.09   59.34  528.64 -743.85    0.00    0.00   55.33 -221.33    0.50    1.50   -0.50   -1.50
 0     1     2     -176.84  528.73 -735.01 -605.33  528.70 -735.11    0.00    0.00 -196.79 -272.39    0.50    1.50   -0.50   -1.50
 0     1     3     -176.67  528.24 -743.85 -605.21  528.25 -743.87   17.40 -495.86 -214.20 -269.33    0.50    1.50   -0.50   -1.50
 0     1     4      -60.85  528.20 -735.00   59.79  528.16 -734.85  -26.67 -615.56   82.00 -209.49    0.50    1.50   -0.50   -1.50
 0     1     5      175.37  528.05 -743.55  603.90  527.94 -743.29  -17.40 -495.86  214.20 -269.33   -0.50   -1.50    0.50    1.50
 0     2     0      175.29  528.56 -772.48  603.79  528.35 -772.45    0.00    0.00  196.79 -272.39   -0.50   -1.50    0.50    1.50
 0     2     1      -61.08  528.72 -781.28   59.57  528.67 -781.41    0.00    0.00   55.33 -221.33    0.50    1.50   -0.50   -1.50
