  100000000      1.1             # run and version numbers

 Panel   H/V Layer Tube      x1      x2      y1      y2
 ----- ----- ----- ---- ------- ------- ------- -------
 0     0     0        0 -264.89  255.11 -253.01 -253.01
 0     0     0        1 -264.89  255.11 -244.61 -244.61
 0     0     0        2 -264.89  255.11 -236.21 -236.21
 0     0     0        3 -264.89  255.11 -227.81 -227.81
 0     0     0        4 -264.89  255.11 -219.41 -219.41
 0     0     0        5 -264.89  255.11 -211.01 -211.01
 0     0     0        6 -264.89  255.11 -202.61 -202.61
 0     0     0        7 -264.89  255.11 -194.21 -194.21
 0     0     0        8 -264.89  255.11 -185.81 -185.81
 0     0     0        9 -264.89  255.11 -177.41 -177.41
 0     0     0       10 -264.89  255.11 -169.01 -169.01
 0     0     0       11 -264.89  255.11 -160.61 -160.61
 0     0     0       12 -264.89  255.11 -152.21 -152.21
 0     0     0       13 -264.89  255.11 -143.81 -143.81
 0     0     0       14 -264.89  255.11 -135.41 -135.41
 0     0     0       15 -264.89  255.11 -127.01 -127.01
 0     0     0       16 -264.89  255.11 -118.61 -118.61
 0     0     0       17 -264.89  255.11 -110.21 -110.21
 0     0     0       18 -264.89  255.11 -101.81 -101.81
 0     0     0       19 -264.89  255.11  -93.41  -93.41
 0     0     0       20 -264.89  255.11  -85.01  -85.01
 0     0     0       21 -264.89  255.11  -76.61  -76.61
 0     0     0       22 -264.89  255.11  -68.21  -68.21
 0     0     0       23 -264.89  255.11  -59.81  -59.81
 0     0     0       24 -264.89  255.11  -51.41  -51.41
 0     0     0       25 -264.89  255.11  -43.01  -43.01
 0     0     0       26 -264.89  255.11  -34.61  -34.61
 0     0     0       27 -264.89  255.11  -26.21  -26.21
 0     0     0       28 -264.89  255.11  -17.81  -17.81
 0     0     0       29 -264.89  255.11   -9.41   -9.41
 0     0     0       30 -264.89  255.11   -1.01   -1.01
 0     0     0       31 -264.89  255.11    7.39    7.39
 0     0     0       32 -264.89  255.11   15.79   15.79
 0     0     0       33 -264.89  255.11   24.19   24.19
 0     0     0       34 -264.89  255.11   32.59   32.59
 0     0     0       35 -264.89  255.11   40.99   40.99
 0     0     0       36 -264.89  255.11   49.39   49.39
 0     0     0       37 -264.89  255.11   57.79   57.79
 0     0     0       38 -264.89  255.11   66.19   66.19
 0     0     0       39 -264.89  255.11   74.59   74.59
 0     0     0       40 -264.89  255.11   82.99   82.99
 0     0     0       41 -264.89  255.11   91.39   91.39
 0     0     0       42 -264.89  255.11   99.79   99.79
 0     0     0       43 -264.89  255.11  108.19  108.19
 0     0     0       44 -264.89  255.11  116.59  116.59
 0     0     0       45 -264.89  255.11  124.99  124.99
 0     0     0       46 -264.89  255.11  133.39  133.39
 0     0     0       47 -264.89  255.11  141.79  141.79
 0     0     0       48 -264.89  255.11  150.19  150.19
 0     0     0       49 -264.89  255.11  158.59  158.59
 0     0     0       50 -264.89  255.11  166.99  166.99
 0     0     0       51 -264.89  255.11  175.39  175.39
 0     0     0       52 -264.89  255.11  183.79  183.79
 0     0     0       53 -264.89  255.11  192.19  192.19
 0     0     0       54 -264.89  255.11  200.59  200.59
 0     0     0       55 -264.89  255.11  208.99  208.99
 0     0     0       56 -264.89  255.11  217.39  217.39
 0     0     0       57 -264.89  255.11  225.79  225.79
 0     0     0       58 -264.89  255.11  234.19  234.19
 0     0     1        0 -264.89  255.11 -252.51 -252.51
 0     0     1        1 -264.89  255.11 -244.11 -244.11
 0     0     1        2 -264.89  255.11 -235.71 -235.71
 0     0     1        3 -264.89  255.11 -227.31 -227.31
 0     0     1        4 -264.89  255.11 -218.91 -218.91
 0     0     1        5 -264.89  255.11 -210.51 -210.51
 0     0     1        6 -264.89  255.11 -202.11 -202.11
 0     0     1        7 -264.89  255.11 -193.71 -193.71
 0     0     1        8 -264.89  255.11 -185.31 -185.31
 0     0     1        9 -264.89  255.11 -176.91 -176.91
 0     0     1       10 -264.89  255.11 -168.51 -168.51
 0     0     1       11 -264.89  255.11 -160.11 -160.11
 0     0     1       12 -264.89  255.11 -151.71 -151.71
 0     0     1       13 -264.89  255.11 -143.31 -143.31
 0     0     1       14 -264.89  255.11 -134.91 -134.91
 0     0     1       15 -264.89  255.11 -126.51 -126.51
 0     0     1       16 -264.89  255.11 -118.11 -118.11
 0     0     1       17 -264.89  255.11 -109.71 -109.71
 0     0     1       18 -264.89  255.11 -101.31 -101.31
 0     0     1       19 -264.89  255.11  -92.91  -92.91
 0     0     1       20 -264.89  255.11  -84.51  -84.51
 0     0     1       21 -264.89  255.11  -76.11  -76.11
 0     0     1       22 -264.89  255.11  -67.71  -67.71
 0     0     1       23 -264.89  255.11  -59.31  -59.31
 0     0     1       24 -264.89  255.11  -50.91  -50.91
 0     0     1       25 -264.89  255.11  -42.51  -42.51
 0     0     1       26 -264.89  255.11  -34.11  -34.11
 0     0     1       27 -264.89  255.11  -25.71  -25.71
 0     0     1       28 -264.89  255.11  -17.31  -17.31
 0     0     1       29 -264.89  255.11   -8.91   -8.91
 0     0     1       30 -264.89  255.11   -0.51   -0.51
 0     0     1       31 -264.89  255.11    7.89    7.89
 0     0     1       32 -264.89  255.11   16.29   16.29
 0     0     1       33 -264.89  255.11   24.69   24.69
 0     0     1       34 -264.89  255.11   33.09   33.09
 0     0     1       35 -264.89  255.11   41.49   41.49
 0     0     1       36 -264.89  255.11   49.89   49.89
 0     0     1       37 -264.89  255.11   58.29   58.29
 0     0     1       38 -264.89  255.11   66.69   66.69
 0     0     1       39 -264.89  255.11   75.09   75.09
 0     0     1       40 -264.89  255.11   83.49   83.49
 0     0     1       41 -264.89  255.11   91.89   91.89
 0     0     1       42 -264.89  255.11  100.29  100.29
 0     0     1       43 -264.89  255.11  108.69  108.69
 0     0     1       44 -264.89  255.11  117.09  117.09
 0     0     1       45 -264.89  255.11  125.49  125.49
 0     0     1       46 -264.89  255.11  133.89  133.89
 0     0     1       47 -264.89  255.11  142.29  142.29
 0     0     1       48 -264.89  255.11  150.69  150.69
 0     0     1       49 -264.89  255.11  159.09  159.09
 0     0     1       50 -264.89  255.11  167.49  167.49
 0     0     1       51 -264.89  255.11  175.89  175.89
 0     0     1       52 -264.89  255.11  184.29  184.29
 0     0     1       53 -264.89  255.11  192.69  192.69
 0     0     1       54 -264.89  255.11  201.09  201.09
 0     0     1       55 -264.89  255.11  209.49  209.49
 0     0     1       56 -264.89  255.11  217.89  217.89
 0     0     1       57 -264.89  255.11  226.29  226.29
 0     0     1       58 -264.89  255.11  234.69  234.69
 0     1     0        0 -263.99 -263.99 -256.71  244.29
 0     1     0        1 -255.60 -255.60 -256.71  244.29
 0     1     0        2 -247.20 -247.20 -256.71  244.29
 0     1     0        3 -238.80 -238.80 -256.71  244.29
 0     1     0        4 -230.40 -230.40 -256.71  244.29
 0     1     0        5 -222.00 -222.00 -256.71  244.29
 0     1     0        6 -213.60 -213.60 -256.71  244.29
 0     1     0        7 -205.20 -205.20 -256.71  244.29
 0     1     0        8 -196.80 -196.80 -256.71  244.29
 0     1     0        9 -188.40 -188.40 -256.71  244.29
 0     1     0       10 -180.00 -180.00 -256.71  244.29
 0     1     0       11 -171.60 -171.60 -256.71  244.29
 0     1     0       12 -163.20 -163.20 -256.71  244.29
 0     1     0       13 -154.80 -154.80 -256.71  244.29
 0     1     0       14 -146.40 -146.40 -256.71  244.29
 0     1     0       15 -138.00 -138.00 -256.71  244.29
 0     1     0       16 -129.60 -129.60 -256.71  244.29
 0     1     0       17 -121.20 -121.20 -256.71  244.29
 0     1     0       18 -112.80 -112.80 -256.71  244.29
 0     1     0       19 -104.40 -104.40 -256.71  244.29
 0     1     0       20  -96.00  -96.00 -256.71  244.29
 0     1     0       21  -87.60  -87.60 -256.71  244.29
 0     1     0       22  -79.20  -79.20 -256.71  244.29
 0     1     0       23  -70.80  -70.80 -256.71  244.29
 0     1     0       24  -62.40  -62.40 -256.71  244.29
 0     1     0       25  -54.00  -54.00 -256.71  244.29
 0     1     0       26  -45.60  -45.60 -256.71  244.29
 0     1     0       27  -37.20  -37.20 -256.71  244.29
 0     1     0       28  -28.80  -28.80 -256.71  244.29
 0     1     0       29  -20.40  -20.40 -256.71  244.29
 0     1     0       30  -12.00  -12.00 -256.71  244.29
 0     1     0       31   -3.60   -3.60 -256.71  244.29
 0     1     0       32    4.80    4.80 -256.71  244.29
 0     1     0       33   13.20   13.20 -256.71  244.29
 0     1     0       34   21.60   21.60 -256.71  244.29
 0     1     0       35   30.00   30.00 -256.71  244.29
 0     1     0       36   38.40   38.40 -256.71  244.29
 0     1     0       37   46.80   46.80 -256.71  244.29
 0     1     0       38   55.20   55.20 -256.71  244.29
 0     1     0       39   63.60   63.60 -256.71  244.29
 0     1     0       40   72.00   72.00 -256.71  244.29
 0     1     0       41   80.40   80.40 -256.71  244.29
 0     1     0       42   88.80   88.80 -256.71  244.29
 0     1     0       43   97.20   97.20 -256.71  244.29
 0     1     0       44  105.60  105.60 -256.71  244.29
 0     1     0       45  114.00  114.00 -256.71  244.29
 0     1     0       46  122.40  122.40 -256.71  244.29
 0     1     0       47  130.80  130.80 -256.71  244.29
 0     1     0       48  139.20  139.20 -256.71  244.29
 0     1     0       49  147.60  147.60 -256.71  244.29
 0     1     0       50  156.00  156.00 -256.71  244.29
 0     1     0       51  164.40  164.40 -256.71  244.29
 0     1     0       52  172.80  172.80 -256.71  244.29
 0     1     0       53  181.20  181.20 -256.71  244.29
 0     1     0       54  189.60  189.60 -256.71  244.29
 0     1     0       55  198.00  198.00 -256.71  244.29
 0     1     0       56  206.40  206.40 -256.71  244.29
 0     1     0       57  214.80  214.80 -256.71  244.29
 0     1     0       58  223.20  223.20 -256.71  244.29
 0     1     0       59  231.60  231.60 -256.71  244.29
 0     1     0       60  240.00  240.00 -256.71  244.29
 0     1     0       61  248.40  248.40 -256.71  244.29
 0     1     0       62  256.80  256.80 -256.71  244.29
 0     1     0       63  265.20  265.20 -256.71  244.29
 0     1     1        0 -263.49 -263.49 -256.71  244.29
 0     1     1        1 -255.10 -255.10 -256.71  244.29
 0     1     1        2 -246.70 -246.70 -256.71  244.29
 0     1     1        3 -238.30 -238.30 -256.71  244.29
 0     1     1        4 -229.90 -229.90 -256.71  244.29
 0     1     1        5 -221.50 -221.50 -256.71  244.29
 0     1     1        6 -213.10 -213.10 -256.71  244.29
 0     1     1        7 -204.70 -204.70 -256.71  244.29
 0     1     1        8 -196.30 -196.30 -256.71  244.29
 0     1     1        9 -187.90 -187.90 -256.71  244.29
 0     1     1       10 -179.50 -179.50 -256.71  244.29
 0     1     1       11 -171.10 -171.10 -256.71  244.29
 0     1     1       12 -162.70 -162.70 -256.71  244.29
 0     1     1       13 -154.30 -154.30 -256.71  244.29
 0     1     1       14 -145.90 -145.90 -256.71  244.29
 0     1     1       15 -137.50 -137.50 -256.71  244.29
 0     1     1       16 -129.10 -129.10 -256.71  244.29
 0     1     1       17 -120.70 -120.70 -256.71  244.29
 0     1     1       18 -112.30 -112.30 -256.71  244.29
 0     1     1       19 -103.90 -103.90 -256.71  244.29
 0     1     1       20  -95.50  -95.50 -256.71  244.29
