  100000000      1.1             # run and version numbers

 Panel   H/V  Length   Width   Thick
 ----- ----- ------- ------- -------
 0     0       520.0    8.35    1.35
 0     1       501.0    8.35    1.35
 1     0       250.4    8.35    1.35
 1     1       382.1    8.35    1.35
 2     0       520.0    8.35    1.35
 2     1       501.0    8.35    1.35
 3     0       520.0    8.35    1.35
 3     1       501.0    8.35    1.35
 4     0       250.4    8.35    1.35
 4     1       382.1    8.35    1.35
 5     0       520.0    8.35    1.35
 5     1       501.0    8.35    1.35
