# HV Channel to Geom Channel map 
# For station-1 this is clear, as each plane is served by one bulk supply. For
# station-2, each supply serves two planes, and in a third of those cases the
# planes are in two different octants -- slightly confusing. For station-3, each
# supply serves one octant. 
# HV  GEOM
2110  2110
2111  2111
2112  2112
2113  2113
2114  2120
2115  2121
2116  2122
2117  2123
2130  2130  
2131  2131
2132  2132
2133  2133
2134  2210
2135  2211
2136  2212
2137  2213
2220  2220
2221  2221
2222  2222
2223  2223
2224  2230
2225  2231
2226  2232
2227  2233
2310  2310
2311  2311
2312  2312
2313  2313
2314  2320
2315  2321
2316  2322
2317  2323
2330  2330 
2331  2331
2332  2332
2333  2333
2334  2410
2335  2411
2336  2412
2337  2413
2420  2420
2421  2421
2422  2422
2423  2423
2424  2430
2425  2431
2426  2432
2427  2433
2510  2510
2511  2511
2512  2512
2513  2513
2514  2520
2515  2521
2516  2522
2517  2523
2530  2530 
2531  2531
2532  2532
2533  2533
2534  2610
2535  2611
2536  2612
2537  2613
2620  2620
2621  2621
2622  2622
2623  2623
2624  2630
2625  2631
2626  2632
2627  2633
2710  2710
2711  2711
2712  2712
2713  2713
2714  2720
2715  2721
2716  2722
2717  2723
2730  2730 
2731  2731
2732  2732
2733  2733
2734  2810
2735  2811
2736  2812
2737  2813
2820  2820
2821  2821
2822  2822
2823  2823
2824  2830
2825  2831
2826  2832
2827  2833
3110  3110
3111  3111
3112  3112
3113  3113
3114  3130
3115  3131
3116  3132
3117  3133
3210  3210
3211  3211
3212  3212
3213  3213
3214  3230
3215  3231
3216  3232
3217  3233
3310  3310
3311  3311
3312  3312
3313  3313
3314  3330
3315  3331
3316  3332
3317  3333
3410  3410
3411  3411
3412  3412
3413  3413
3414  3430
3415  3431
3416  3432
3417  3433
3510  3510
3511  3511
3512  3512
3513  3513
3514  3530
3515  3531
3516  3532
3517  3533
3610  3610
3611  3611
3612  3612
3613  3613
3614  3630
3615  3631
3616  3632
3617  3633
3710  3710
3711  3711
3712  3712
3713  3713
3714  3730
3715  3731
3716  3732
3717  3733
3810  3810
3811  3811
3812  3812
3813  3813
3814  3830
3815  3831
3816  3832
3817  3833
