* Map produced by Steve Kahn and Orrin Fackler 8/08/94.
* 4 x 4 cm Grid Field map for both the CM and MM. The MM is on one side ONLY.  
* Z ranges from 732 cm to -200 CM.  R ranges from 512 cm to 0 cm. B in Gauss.
* Field Integral of Bz in CM is 0.776 T-m.  Integrate along R with Z=0.
* Field Integral of Br in MM is 0.725 T-m.  On 15 degree line, 180 to 630 cm.
* This map will fit in an array of dimension (129,334)(R,Z) = 43,086 elements.
* Mu = natural logarithm of the permiability.  (ie. Air, Coils = 0, Iron > 0 )
* (10 comment lines required for PISA read routine)
* (10 comment lines required for PISA read routine)
* (10 comment lines required for PISA read routine)
 M    N    Rstep(cm) Zstep(cm)  [for an ARRAY(M,N)]
129  334      4.0      4.0
 R    Z       Br       Bz   Mu                                               
 511    732    14.34        4.959       0
 507    732    14.28        5.356       0
 503    732    14.22        5.820       0
 500    732    14.15        6.284       0
 496    732    14.09        6.748       0
 492    732    14.03        7.212       0
 488    732    13.74        7.472       0
 484    732    13.43        7.719       0
 480    732    13.13        7.965       0
 476    732    12.82        8.212       0
 471    732    12.52        8.458       0
 467    732    12.30        8.705       0
 463    732    12.11        8.922       0
 459    732    11.81        8.930       0
 455    732    11.52        8.938       0
 451    732    11.23        8.946       0
 448    732    10.93        8.954       0
 444    732    10.64        8.962       0
 440    732    10.35        8.970       0
 436    732    10.07        8.980       0
 432    732    9.955        9.021       0
 428    732    9.829        8.959       0
 423    732    9.696        8.853       0
 419    732    9.564        8.747       0
 415    732    9.432        8.640       0
 411    732    9.299        8.534       0
 407    732    9.167        8.428       0
 403    732    9.034        8.321       0
 400    732    8.902        8.215       0
 396    732    8.771        8.109       0
 392    732    8.745        7.996       0
 388    732    8.721        7.853       0
 383    732    8.696        7.710       0
 379    732    8.672        7.568       0
 375    732    8.647        7.425       0
 372    732    8.622        7.282       0
 368    732    8.598        7.139       0
 364    732    8.573        6.996       0
 359    732    8.649        6.909       0
 355    732    8.755        6.838       0
 351    732    8.860        6.766       0
 348    732    8.966        6.695       0
 344    732    9.057        6.571       0
 340    732    9.139        6.413       0
 335    732    9.221        6.255       0
 331    732    9.304        6.097       0
 327    732    9.386        5.939       0
 324    732    9.534        5.764       0
 320    732    9.762        5.568       0
 316    732    9.989        5.371       0
 311    732    10.22        5.175       0
 307    732    10.45        5.008       0
 303    732    10.71        4.925       0
 300    732    10.97        4.841       0
 296    732    11.23        4.758       0
 292    732    11.54        4.606       0
 288    732    11.90        4.376       0
 283    732    12.26        4.146       0
 279    732    12.62        3.917       0
 275    732    13.04        3.729       0
 272    732    13.58        3.657       0
 268    732    14.13        3.584       0
 264    732    14.68        3.512       0
 259    732    15.25        3.327       0
 255    732    15.82        3.067       0
 251    732    16.42        2.812       0
 248    732    17.41        2.632       0
 244    732    18.41        2.452       0
 240    732    19.40        2.272       0
 235    732    20.39        2.092       0
 231    732    21.37        1.921       0
 227    732    22.30        1.958       0
 224    732    23.55        2.089       0
 220    732    24.82        2.134       0
 216    732    26.08        2.179       0
 211    732    27.35        2.225       0
 207    732    28.62        2.270       0
 203    732    30.01        2.544       0
 200    732    31.89        3.746       0
 196    732    33.77        4.948       0
 191    732    35.65        6.150       0
 187    732    37.54        7.352       0
 184    732    39.42        8.554       0
 179    732    41.40        9.656       0
 175    732    44.56        9.599       0
 172    732    47.71        9.541       0
 167    732    53.20        11.98       0
 163    732    57.69        15.37       0
 160    732    60.67        19.99       0
 155    732    63.65        24.60       0
 151    732    66.63        29.22       0
 148    732    69.61        33.84       0
 144    732    72.46        37.91       0
 139    732    75.06        40.98       0
 136    732    77.67        44.05       0
 132    732    80.12        47.17       0
 127    732    79.50        51.14       0
 124    732    78.84        55.89       0
 120    732    78.09        62.17       0
 115    732    77.35        68.46       0
 112    732    76.61        74.74       0
 108    732    75.87        81.02       0
 103    732    74.32        86.50       0
 100    732    71.34        90.57       0
  95    732    68.36        94.63       0
  92    732    65.39        98.70       0
  87    732    62.41        102.8       0
  83    732    59.32        107.0       0
  80    732    56.34        109.0       0
  75    732    53.50        110.8       0
  72    732    50.66        112.7       0
  68    732    47.82        114.6       0
  63    732    44.98        116.5       0
  60    732    42.15        118.3       0
  56    732    39.36        118.9       0
  51    732    36.58        119.4       0
  47    732    33.79        120.0       0
  43    732    31.01        120.5       0
  40    732    28.16        121.3       0
  36    732    25.27        122.3       0
  31    732    22.83        122.8       0
  28    732    20.42        123.0       0
  23    732    17.50        123.0       0
  20    732    14.59        123.0       0
  15    732    11.67        123.0       0
  11    732    8.752        123.0       0
   7    732    5.835        123.0       0
   3    732    2.917        123.0       0
   0    732   -.1107E-14    123.0       0
 511    728    14.67        5.258       0
 507    728    14.61        5.722       0
 503    728    14.55        6.186       0
 500    728    14.48        6.650       0
 496    728    14.42        7.114       0
 492    728    14.36        7.578       0
 488    728    14.08        7.851       0
 484    728    13.78        8.098       0
 480    728    13.47        8.344       0
 476    728    13.17        8.591       0
 471    728    12.86        8.837       0
 467    728    12.56        9.084       0
 463    728    12.19        9.254       0
